["교양관 602호", 10878]
["법학관신관 501호", 5555]
["정경관 205호", 4812]
["정경관 506호", 4486]
["정경관 202호", 4483]
["생명과학관(동관)101호", 4475]
["서관 202호", 4364]
["창의관 B113호", 4195]
["L-P 436호(SUPEX HALL)", 4034]
["창의관 116호", 3852]
["아산이학관 633호", 3806]
["정경관 101호", 3754]
["서관 132호", 3715]
["정경관 503호", 3695]
["법학관구관 B102호", 3520]
["정보통신관 601호", 3348]
["교양관 103호", 3335]
["L-P 433호", 3324]
["교양관 605호", 3308]
["서관 215호", 3280]
["L-P 432호", 3242]
["창의관 B114호", 3222]
["국제관 322호", 3060]
["법학관신관 101호", 3055]
["교양관 202호", 3043]
["교양관 404호", 3032]
["교양관 606호", 2995]
["정보통신관 205호", 2983]
["현차관 B204호", 2946]
["서관 307호", 2910]
["현차관 B205호", 2843]
["교양관 110호", 2774]
["교양관 414호", 2771]
["교양관 304호", 2749]
["교양관 102호", 2746]
["교양관 311호", 2731]
["서관 401호", 2719]
["의대제2강의실", 2713]
["교양관 201호", 2636]
["법학관신관 202호", 2636]
["교양관 105호", 2587]
["교양관 309호", 2524]
["교양관 413호", 2476]
["교양관 208호", 2468]
["교양관 405호", 2458]
["법학관구관 B101호", 2457]
["교양관 209호", 2457]
["교양관 306호", 2444]
["교육관 504호", 2443]
["교양관 312호", 2432]
["미디어관 602호", 2413]
["공학관 167호", 2351]
["하나스퀘어 B119호", 2340]
["교양관 210호", 2329]
["교양관 406호", 2324]
["하나과학관 109호", 2307]
["교양관 310호", 2304]
["교육관 502호", 2303]
["현차관 301호", 2279]
["현차관 B206호", 2271]
["교양관 203호", 2270]
["하나과학관지하 131호", 2268]
["서관 317호", 2219]
["교양관 403호", 2188]
["현차관 B301호", 2172]
["창의관 203호", 2163]
["교육관 204호", 2157]
["법학관구관 206호", 2149]
["법학관신관 201호", 2147]
["창의관 117호", 2129]
["창의관 207호", 2128]
["공학관 369호", 2127]
["하나과학관지하 128호", 2120]
["교양관 204호", 2100]
["하나과학관지하 127호", 2097]
["교양관 402호", 2094]
["L-P 530호", 2078]
["법학관구관 207호", 2074]
["국제관 214호", 2059]
["교양관 207호", 2051]
["아산이학관 230호", 2046]
["생명과학관(서관) 121호", 2029]
["교양관 412호", 2013]
["교양관 305호", 2010]
["교양관 409호", 2000]
["서관 315호", 1957]
["공학관 566호", 1952]
["교양관 410호", 1945]
["교양관 303호", 1941]
["교육관 102호", 1936]
["생명과학관(동관) 416호", 1913]
["하나과학관 101호", 1901]
["과도관 306호", 1895]
["교양관 411호", 1890]
["서관 225호", 1882]
["교양관 313호", 1881]
["교육관 303호", 1873]
["정보통신관 202호", 1865]
["L-P 108호", 1862]
["아산이학관 330호", 1836]
["생명과학관(서관) 201호", 1826]
["교육관 302호", 1816]
["교양관 314호", 1806]
["과도관 410호", 1798]
["창의관 205호", 1798]
["교양관 315호", 1774]
["교양관 104호", 1771]
["아산이학관 113호", 1766]
["법학관구관 B104호", 1760]
["L-P 531호", 1738]
["L-P 107호", 1737]
["정경관 501호", 1732]
["교양관 109호", 1728]
["아산이학관 433호", 1724]
["L-P 208호", 1724]
["생명과학관(동관)102호", 1710]
["신공학관B102호", 1688]
["서관 316B호", 1680]
["현차관 303호", 1644]
["교양관 111호", 1636]
["생명과학관(서관) 401호", 1635]
["L-P 106호", 1628]
["아산이학관 536호", 1623]
["과도관 408호", 1603]
["하나스퀘어 B120호", 1583]
["우정간호학관 201호", 1556]
["의대제4강의실", 1554]
["서관 314B호", 1553]
["아산이학관 331호", 1552]
["교육관 501호", 1549]
["아산이학관 112호", 1548]
["아산이학관 432호", 1538]
["생명과학관(동관) 107 호", 1522]
["서관 224A호", 1477]
["생명과학관(동관) 108호", 1475]
["법학관구관 B103호", 1454]
["하나과학관지하 109호", 1434]
["하나과학관지하 108호", 1427]
["아산이학관 535호", 1409]
["아산이학관 111호", 1406]
["국제관 414호", 1402]
["하나과학관 102호", 1398]
["정경관 507호", 1388]
["국제관423", 1381]
["국제관 511호", 1380]
["아산이학관 231호", 1367]
