index,urls,title,description,info,image,tags
0,https://job.korea.ac.kr/user/recu/program/pgmScheduleView.do?gjobPgmNo=525,8/26(수) 온라인 자기소개서 첨삭 신청자 모집,"
코로나19로 중단된 상시 자기소개서첨삭 서비스를 한시적으로 온라인으로 진행하고자 합니다.
 
신청은 1) 본 페이지에서 지원하기, 2) 지원 시, 선호하는 시간 선택. 2가지를 모두 진행하셔야 최종 신청이 됩니다.
선호하는 시간을 적어 주시면 검토 후 개별 전화로 연락하여 시간 확정 할 예정입니다. (센터 사정에 따라 시간이 조정될 수 있음)
취소가 어려우니, 신중하게 지원해 주시기 부탁드립니다. (※ 상담 당일 취소 시, 추후 본 서비스 이용에 제한이 있을 수 있습니다)
본 서비스는 1인당 주 1회 신청 가능합니다.


최종 신청이 완료되면, 지원 시 기입하신 메일주소로 상담신청서가 송부됩니다. 상담 1일전까지 반드시 상담신청서 및 작성하신 자기소개서를 회신하여 주시기 바랍니다.
(진행시간이 30분으로 제한적으로 진행되오니, 효과적인 서비스 제공을 위해 첨삭이 필요한 자소서 1개를 선정하시고 첨삭 받고 싶은 문항이나 내용을 미리 말씀 해 주시길 부탁 드립니다)



","8/26(수) 온라인 자기소개서 첨삭 신청자 모집접수기간                                        2020.08.20 15시~ 2020.08.25 15시지원마감 접수방법온라인접수선발방법선발세부일정진행일시2020.08.26 11시~ 2020.08.26 16시진행장소Google Hangouts Meet (화상으로 진행)신청 / 정원3명/3명접수시 필요항목1. 다음 시간 중 상담이 가능한 시간을 적어 주세요(11시, 14시, 15시 中 중복 선택 가능)",https://job.korea.ac.kr/repository/uploadfiles/editor/08/4eec4f1a-b81b-42e7-99ef-5766e43530c1.JPG,취업
1,https://job.korea.ac.kr/user/recu/program/pgmScheduleView.do?gjobPgmNo=524,8/25(화) 온라인 자기소개서 첨삭 신청자 모집,"
코로나19로 중단된 상시 자기소개서첨삭 서비스를 한시적으로 온라인으로 진행하고자 합니다.
 
신청은 1) 본 페이지에서 지원하기, 2) 지원 시, 선호하는 시간 선택. 2가지를 모두 진행하셔야 최종 신청이 됩니다.
선호하는 시간을 적어 주시면 검토 후 개별 전화로 연락하여 시간 확정 할 예정입니다. (센터 사정에 따라 시간이 조정될 수 있음)
취소가 어려우니, 신중하게 지원해 주시기 부탁드립니다. (※ 상담 당일 취소 시, 추후 본 서비스 이용에 제한이 있을 수 있습니다)
본 서비스는 1인당 주 1회 신청 가능합니다.


최종 신청이 완료되면, 지원 시 기입하신 메일주소로 상담신청서가 송부됩니다. 상담 1일전까지 반드시 상담신청서 및 작성하신 자기소개서를 회신하여 주시기 바랍니다.
(진행시간이 30분으로 제한적으로 진행되오니, 효과적인 서비스 제공을 위해 첨삭이 필요한 자소서 1개를 선정하시고 첨삭 받고 싶은 문항이나 내용을 미리 말씀 해 주시길 부탁 드립니다)



","8/25(화) 온라인 자기소개서 첨삭 신청자 모집접수기간                                        2020.08.20 15시~ 2020.08.24 15시지원마감 접수방법온라인접수선발방법선발세부일정진행일시2020.08.25 10시~ 2020.08.25 15시진행장소Google Hangouts Meet (화상으로 진행)신청 / 정원3명/3명접수시 필요항목1. 다음 시간 중 상담이 가능한 시간을 적어 주세요(11시, 14시, 15시 中 중복 선택 가능)",https://job.korea.ac.kr/repository/uploadfiles/editor/08/38d222f7-4fab-49e4-b0d7-de85e3631eb8.JPG,취업
2,https://job.korea.ac.kr/user/recu/program/pgmScheduleView.do?gjobPgmNo=523,8/24(월) 온라인 일대일 커리어상담 신청자 모집,"
코로나19로 중단된 일대일커리어상담서비스를 한시적으로 온라인으로 진행하고자 합니다.
본 일정은 일대일 커리어상담을 받기 전 사전 접수상담을 진행하기 위한 시간입니다.
접수상담은 약 30분 소요되며, 접수상담 종료 후 약 2주 내로 일대일 커리어상담을 받으실 수 있습니다.

신청은 1) 본 페이지에서 지원하기, 2) 지원 시, 선호하는 시간 선택. 2가지를 모두 진행하셔야 최종 신청이 됩니다.
선호하는 시간을 적어 주시면 검토 후 개별 전화 연락하여 시간 확정 할 예정입니다. (센터 사정에 따라 시간이 조정될 수 있음)

취소가 어려우니, 신중하게 지원해 주시기 부탁드립니다.(※ 상담 당일 취소 시, 추후 본 서비스 이용에 제한이 있을 수 있습니다) 
최종 신청이 완료되면, 지원 시 기입하신 메일주소로 상담신청서가 송부됩니다. 상담 1일전까지 반드시 작성 완료하여 회신하여 주시기 바랍니다.



","8/24(월) 온라인 일대일 커리어상담 신청자 모집접수기간                                        2020.08.20 15시~ 2020.08.23 15시지원마감 접수방법온라인접수선발방법선발세부일정진행일시2020.08.24 10시~ 2020.08.24 16시진행장소Google Hangouts Meet (화상으로 진행)신청 / 정원3명/3명접수시 필요항목1. 다음 시간 중 상담이 가능한 시간을 적어 주세요(11시, 14시, 15시 中 중복 선택 가능)",https://job.korea.ac.kr/repository/uploadfiles/editor/08/c7c4153d-82f3-46f3-ad58-c83b6772eacd.JPG,취업
3,https://job.korea.ac.kr/user/recu/program/pgmScheduleView.do?gjobPgmNo=522,상반기 기업면접리뷰 워크숍,"
본 페이지는 '2020년 상반기 기업면접리뷰 워크숍' 신청페이지입니다.

1. 온라인 신청&서류제출이 확인돤 학생들에게 한하여 참여할 회차를 확정한 뒤 개별안내드립니다.

2. 신청 순서 기준, 후순위로 신청한 5명은 자동 대기자로 등록됩니다. 대기자가 된 신청학생들에게는 별도안내 드리겠습니다.

3. 홍보물 및 안내/유의사항을 정확하게 숙지한 뒤 신청하시기 바랍니다. 미숙지로 인한 불이익은 책임지지 않습니다.

4. 교직원(사번을 부여받은 모든 경우)으로 재직 중이거나 재직 경험이 있는 졸업생의 경우, 신청을 하셨더라도 명단이 확인되지 않는 경우가 있습니다. 

  해당자는 필히 careersvc@korea.ac.kr 로 1)학번/학과/연락처 2)신청시 작성항목 을 별도 전달해주시기 바랍니다.


",상반기 기업면접리뷰 워크숍접수기간                                        2020.08.14 10시~ 2020.08.27 00시지원가능 접수방법온라인접수선발방법선발세부일정진행일시2020.08.27 00시~ 2020.08.27 00시진행장소418기념관 1층 경력개발센터신청 / 정원9명/21명접수시 필요항목안내/유의사항을 확인하셨습니까? 미숙지로 인한 불이익에 대해서는 책임지지 않습니다. 1~4회차 중 참여가능한 회차(모두 작성) 면접리뷰를 희망하는 기업/직무(전체),https://job.korea.ac.kr/repository/uploadfiles/editor/08/a3f891ec-9699-4cc5-ac27-9e5971f37fb8.png,취업
4,https://job.korea.ac.kr/user/recu/program/pgmScheduleView.do?gjobPgmNo=521,2020년 상반기 취업수기 공모,"
'2020년 상반기 취업수기 공모'를 안내드립니다.

※ 신청절차(단계별 상세내용은 홍보물 참조)
- (1/3) 이메일로 참여 신청
- (2/3) 신청서 작성 및 제출
- (3/3) 게시

본페이지가 아니라 '이메일'로 신청하는 것임에 유의하시기 바랍니다.
감사합니다.



",2020년 상반기 취업수기 공모접수기간                                        2020.08.11 00시~ 2020.08.31 00시지원가능 접수방법온라인접수선발방법선발세부일정진행일시2020.08.31 00시~ 2020.08.31 00시진행장소개별신청 / 정원0명/0명접수시 필요항목,https://job.korea.ac.kr/repository/uploadfiles/editor/08/4550120a-3286-4d79-853d-4d4d2f2f45f7.png,취업
7,https://job.korea.ac.kr/user/recu/program/pgmScheduleView.do?gjobPgmNo=518,8/21(금) 온라인 일대일 커리어상담 신청자 모집,"
코로나19로 중단된 일대일커리어상담서비스를 한시적으로 온라인으로 진행하고자 합니다.
본 일정은 일대일 커리어상담을 받기 전 사전 접수상담을 진행하기 위한 시간입니다.
접수상담은 약 30분 소요되며, 접수상담 종료 후 약 2주 내로 일대일 커리어상담을 받으실 수 있습니다.

신청은 1) 본 페이지에서 지원하기, 2) 지원 시, 선호하는 시간 선택. 2가지를 모두 진행하셔야 최종 신청이 됩니다.
선호하는 시간을 적어 주시면 검토 후 개별 전화 연락하여 시간 확정 할 예정입니다. (센터 사정에 따라 시간이 조정될 수 있음)

취소가 어려우니, 신중하게 지원해 주시기 부탁드립니다.(※ 상담 당일 취소 시, 추후 본 서비스 이용에 제한이 있을 수 있습니다) 
최종 신청이 완료되면, 지원 시 기입하신 메일주소로 상담신청서가 송부됩니다. 상담 1일전까지 반드시 작성 완료하여 회신하여 주시기 바랍니다.



","8/21(금) 온라인 일대일 커리어상담 신청자 모집접수기간                                        2020.08.14 15시~ 2020.08.20 15시지원마감 접수방법온라인접수선발방법선발세부일정진행일시2020.08.21 10시~ 2020.08.21 15시진행장소Google Hangouts Meet (화상으로 진행)신청 / 정원3명/3명접수시 필요항목1. 다음 시간 중 상담이 가능한 시간을 적어 주세요(10시, 11시, 14시 中 중복 선택 가능)",https://job.korea.ac.kr/repository/uploadfiles/editor/08/71d8d380-f16f-4360-aa46-e6842a3e25da.JPG,취업
8,https://job.korea.ac.kr/user/recu/program/pgmScheduleView.do?gjobPgmNo=517,8/20(목) 온라인 자기소개서 첨삭 신청자 모집,"
코로나19로 중단된 상시 자기소개서첨삭 서비스를 한시적으로 온라인으로 진행하고자 합니다.
 
신청은 1) 본 페이지에서 지원하기, 2) 지원 시, 선호하는 시간 선택. 2가지를 모두 진행하셔야 최종 신청이 됩니다.
선호하는 시간을 적어 주시면 검토 후 개별 전화로 연락하여 시간 확정 할 예정입니다. (센터 사정에 따라 시간이 조정될 수 있음)
취소가 어려우니, 신중하게 지원해 주시기 부탁드립니다. (※ 상담 당일 취소 시, 추후 본 서비스 이용에 제한이 있을 수 있습니다)
본 서비스는 1인당 주 1회 신청 가능합니다.


최종 신청이 완료되면, 지원 시 기입하신 메일주소로 상담신청서가 송부됩니다. 상담 1일전까지 반드시 상담신청서 및 작성하신 자기소개서를 회신하여 주시기 바랍니다.
(진행시간이 30분으로 제한적으로 진행되오니, 효과적인 서비스 제공을 위해 첨삭이 필요한 자소서 1개를 선정하시고 첨삭 받고 싶은 문항이나 내용을 미리 말씀 해 주시길 부탁 드립니다)



","8/20(목) 온라인 자기소개서 첨삭 신청자 모집접수기간                                        2020.08.14 15시~ 2020.08.19 15시지원마감 접수방법온라인접수선발방법선발세부일정진행일시2020.08.20 10시~ 2020.08.20 16시진행장소Google Hangouts Meet (화상으로 진행)신청 / 정원3명/3명접수시 필요항목1. 다음 시간 중 상담이 가능한 시간을 적어 주세요(10시, 11시, 14시, 15시 中 중복 선택 가능)",https://job.korea.ac.kr/repository/uploadfiles/editor/08/aac03337-c830-482b-b7b9-e636f69590da.JPG,취업
9,https://job.korea.ac.kr/user/recu/program/pgmScheduleView.do?gjobPgmNo=516,8/19(수) 온라인 일대일 커리어상담 신청자 모집,"
코로나19로 중단된 일대일커리어상담서비스를 한시적으로 온라인으로 진행하고자 합니다.
본 일정은 일대일 커리어상담을 받기 전 사전 접수상담을 진행하기 위한 시간입니다.
접수상담은 약 30분 소요되며, 접수상담 종료 후 약 2주 내로 일대일 커리어상담을 받으실 수 있습니다.

신청은 1) 본 페이지에서 지원하기, 2) 지원 시, 선호하는 시간 선택. 2가지를 모두 진행하셔야 최종 신청이 됩니다.
선호하는 시간을 적어 주시면 검토 후 개별 전화 연락하여 시간 확정 할 예정입니다. (센터 사정에 따라 시간이 조정될 수 있음)

취소가 어려우니, 신중하게 지원해 주시기 부탁드립니다.(※ 상담 당일 취소 시, 추후 본 서비스 이용에 제한이 있을 수 있습니다) 
최종 신청이 완료되면, 지원 시 기입하신 메일주소로 상담신청서가 송부됩니다. 상담 1일전까지 반드시 작성 완료하여 회신하여 주시기 바랍니다.



","8/19(수) 온라인 일대일 커리어상담 신청자 모집접수기간                                        2020.08.13 15시~ 2020.08.18 15시지원마감 접수방법온라인접수선발방법선발세부일정진행일시2020.08.19 10시~ 2020.08.19 15시진행장소Google Hangouts Meet (화상으로 진행)신청 / 정원3명/3명접수시 필요항목1. 다음 시간 중 상담이 가능한 시간을 적어 주세요(10시, 11시, 14시 中 중복 선택 가능)",https://job.korea.ac.kr/repository/uploadfiles/editor/08/2be41c88-f2d5-444a-b171-cc4d170372d8.JPG,취업
10,https://job.korea.ac.kr/user/recu/program/pgmScheduleView.do?gjobPgmNo=515,8/18(화) 온라인 일대일 커리어상담 신청자 모집,"
코로나19로 중단된 일대일커리어상담서비스를 한시적으로 온라인으로 진행하고자 합니다.
본 일정은 일대일 커리어상담을 받기 전 사전 접수상담을 진행하기 위한 시간입니다.
접수상담은 약 30분 소요되며, 접수상담 종료 후 약 2주 내로 일대일 커리어상담을 받으실 수 있습니다.

신청은 1) 본 페이지에서 지원하기, 2) 지원 시, 선호하는 시간 선택. 2가지를 모두 진행하셔야 최종 신청이 됩니다.
선호하는 시간을 적어 주시면 검토 후 개별 전화 연락하여 시간 확정 할 예정입니다. (센터 사정에 따라 시간이 조정될 수 있음)

취소가 어려우니, 신중하게 지원해 주시기 부탁드립니다.(※ 상담 당일 취소 시, 추후 본 서비스 이용에 제한이 있을 수 있습니다) 
최종 신청이 완료되면, 지원 시 기입하신 메일주소로 상담신청서가 송부됩니다. 상담 1일전까지 반드시 작성 완료하여 회신하여 주시기 바랍니다.



","8/18(화) 온라인 일대일 커리어상담 신청자 모집접수기간                                        2020.08.13 15시~ 2020.08.17 15시지원마감 접수방법온라인접수선발방법선발세부일정진행일시2020.08.18 10시~ 2020.08.18 15시진행장소Google Hangouts Meet (화상으로 진행)신청 / 정원2명/2명접수시 필요항목1. 다음 시간 중 상담이 가능한 시간을 적어 주세요(10시, 11시, 14시 中 중복 선택 가능)",https://job.korea.ac.kr/repository/uploadfiles/editor/08/7b03547f-be5a-4232-a5bc-204c6e08620f.JPG,취업
11,https://job.korea.ac.kr/user/recu/program/pgmScheduleView.do?gjobPgmNo=514,대기신청_하계방학 자기소개서 첨삭클리닉,"
본 페이지는 '2020학년도 하계방학 자기소개서 첨삭클리닉' 대기자신청페이지입니다.


1. 본 페이지는 '대기자' 신청페이지입니다. 희망하는 일시의 신청이 마감된 경우에만 신청해주시기 바랍니다.

2. 안내/유의사항을 정확하게 확인해주시기 바랍니다. 미숙지로 인한 불이익에 대해서는 책임지지 않습니다.

3. 취소자가 발생하면 개별연락드립니다.

4. 교직원(사번을 부여받은 모든 경우)으로 재직 중이거나 재직 경험이 있는 졸업생의 경우, 신청 후 명단 확인이 되지 않은 경우가 있습니다. 해당자는 필히 careersvc@korea.ac.kr 로 '이름/학과/학번/연락처/신청시작성항목'을 전달해주시




",대기신청_하계방학 자기소개서 첨삭클리닉접수기간                                        2020.08.13 10시~ 2020.08.31 00시지원가능 접수방법온라인접수선발방법선발세부일정진행일시2020.08.31 00시~ 2020.08.31 00시진행장소온라인신청 / 정원48명/100명접수시 필요항목본 페이지는 하계방학 자기소개서 첨삭클리닉 '대기신청' 페이지입니다. 대기 신청희망 강사명/희망일시(전체)1 대기 신청희망 강사명/희망일시(전체)2 대기 신청희망 강사명/희망일시(전체)3,https://job.korea.ac.kr/repository/uploadfiles/editor/08/09e19f82-ab59-497d-8504-e363942aa0e7.png,취업
