description,tags
장애학생지원센터 서포터즈 모해 10기,['봉사']
"장애학생지원센터에서는 다음과 같이 2020학년도 1학기 장애학생 도우미를 모집합니다. 관심있는 학생분들의 많은 지원 바랍니다.1. 모집인원: 00명2. 신청자격 - 본교 대학(대학원)생- 직전 학기 성적 C이상(F포함)- 장애학생 수업과 동일한 수업을 수강하는 학생- 장애학생 수업과 동일한 수업을 수강하지 않더라도 도우미로 활동하고자 하는 학생* 타 부서 근로(교내근로, 국가근로 등) 와 이중 신청 불가, 재외국민 신청 불가* 소득분위 6분위 이상 학생도 신청 가능 3. 모집 시간표: 첨부파일 참조 *목록은 지속적으로 업데이트됩니다. 업데이트사항 :신규 요청 과목 및 시간 추가. 매칭이 완료된 과목 및 시간 목록서 회색처리함) * 동일 과목명일경우 분반을 잘 확인 후 지원 바랍니다.4. 도우미 역할(업무) 1) 필기도우미  - 장애학생의 수업과 동일한 수업을 수강(청강 가능)하며 성실하게 강의내용 필기(입력) 2) 스크립트 도우미  - 자막ai 프로그램을 통해 1차 생성된 자막을 강의 영상을 보며 오역본 수정하여 스크립트를 제작 3) 이동 및 생활 도우미 - 이동 및 생활에 있어 도움을 필요로 하는 장애학생을 도움5. 지원방법 1) 신청기간  2020.08.07~매칭시 2) 신청방법 - 도우미 신청서(첨부파일) 및 시간표 이미지 파일을 첨부하여 쿠카이브로 신청6. 선발절차 - 동성 매칭, 동일 전공, 동일 수업 수강 등을 고려하여 선발 - 선발된 학생에 한하여 개별통지 후 오리엔테이션 시행(온라인 진행) 7. 선발 혜택-재학생: 장학재단 근로장학금으로 지급 (시급 9,000원)-휴학생: 인건비로 지급(시급 9,000원). 단, 소득세를 제하고 지급- 활동 후 활동 시간에 대한 확인서 발급",['봉사']
고대인들을 다학제적융합인재로 성장시키기위한 인문학 교육 특강- 강연 제목 : 당신이 영화를 보는 이유는… “Stupid!”,"['예술', '사회']"
고대인들을 다학제적융합인재로 성장시키기위한 인문학 교육 특강- 강연 제목 : 미국의 최고 국립대를 구글링하는 ‘무식한 공대생’을 위한 영화 5,"['예술', 'IT']"
고대인들을 다학제적융합인재로 성장시키기위한 인문학 교육 특강- 강연 제목 : 영화를 ‘풍부하게’ 보는 Tip 5,['예술']
"고대인들을 다학제적융합인재로 성장시키기위한 인문학 교육 특강- 강연 제목 : 한국의 건축, 그 전통성과 현대성",['예술']
"기부로 인한 고려대 발전 현황을 홍보 콘텐츠로 제작하여 기부자들에게 매월 문자 웹진으로 발송.

나눔과 기부에 대한 교육 수강.

기부자 행사에서 취재 및 예우 활동 수행.","['봉사', '예술']"
"2020년 한국야쿠르트 마케팅 공모전   ■ 공모주제 · 언택트 시대에 걸맞은 차별화된 마케팅전략 및 홍보영상 모집 ■ 공모분야공모주제참가대상제출형식# 아이디어 공모- 언택트 소비환경에 따른 한국야쿠르트만의마케팅 전략 차별화 방안(Ex.정기구독서비스, 20~30대 유입방안 등)· 전국 대학생 및 대학원생 대상  (개인 1인 제한, 단체 불가)· 파일종류 : 한글 또는 파워포인트 · 규   격 : 제한없음· 파일용량 : 10MB 이하# 디지털 미디어 공모 한국야쿠르트 제품 및 브랜드 이미지 관련 60초 광고 + 징글(선택) 제작· 개인 또는 팀(3인까지) 참가 가능  (기타 참자자격 제한 없음)· 파일분량 :90초 이내(100MB이하) · 해상도 : 740*480 이상의 영상파일· 파일형식 : AVI, MP4   ■ 공모기간 및 일정 · 홍보기간 : 2020.07.20(월) ~ 08.31(월) · 제출기간 : 2020.08.10(월) ~ 08.31(월) · 수상발표 : 2020.09.09(수) · 상품시상 : 2020.09.11(금)   ■ 제출처 및 문의 - hyrecruit@yakult.co.kr    ■ 상금내역최우수상우수상참가상아이디어 부분디지털 미디어 부분작품 1점 (500만원)작품 1점(100만원)작품 1점 (100만원)작품 30점 (HyFresh 1만원 쿠폰)  (수상작 상금 수령에 대해 부과되는 제세공과금은 수상자 본인이 부담)■ 홈페이지 가기http://m.hyfresh.co.kr/exhibition/eventDetail.do?BBM_ID=1000004217&MENU_ID=C10000000193   ■ 유의사항 - 접수 마감은 08.31(월) 16시까지 제출된 작품에 한하여 인정됩니다.  - 수상작에 한하여 한국야쿠르트는 수상자와 협의하여 제품 및 마케팅 활용용도로 사용 할 수 있습니다. - 입상하지 않은 응모작은 공모전 종료일로부터 2개월 이내에 모두 폐기합니다.  다만, 응모자의 반환 요구시 30일 이내에 반환 가능합니다. - 타인의 지식재산권을 침해하였을 경우 발생되는 모든 민·형사상 책임은 응모자에게 있습니다.  - 당사는 동 건 저작물을 변형하거나 이용할 경우 응모자와 별도로 협의하여 정합니다. - 출연하는 모든 인물의 초상권에 수집 및 이용에 대한 동의를 받아야 합니다.  - 공모 작품은 타 공모전에 출품되지 않은 개인(또는 팀)의 순수 창작물이여야 합니다.  - 응모자는 응모작이 제3자의 저작권을 침해하지 않도록 주의의무를 다하여야 합니다.  - 제출된 응모작이 당사 기준에 미흡할 경우 선정하지 않을 수 있습니다.","['공모전', '경영']"
"제1회 도전.한국 대국민 아이디어 공모전▷  지원자격 : 관심 있는 국민‧기업‧단체 누구나※ 과제별 소관 부처 및 산하 공공기관 구성원의 아이디어가 선정된 경우 포상은  배제하고 표창만 실시, 다만 타 부처 공무원은 포상 가능 ▷ 지원분야(과제)1. 디지털 기술 등을 활용하여 반려견‧반려묘 유기를 예방하거나, 또는 동물 등록제를 활성화 할 수 있는 방안 * 예 : 동물 등록(칩 사용 등) 비용을 절감할 수 있는 방안 등 * 포상금(등급) : 3천만원(B등급)2. 바다에 가라 앉아 있는(침적) 쓰레기(플라스틱 쓰레기, 폐그물 등)를 비용 효율적으로 탐지하고 제거할 수 있는 기술적 방안 * 침적 쓰레기를 탐지(예: 특정 장비를 활용하여 바닥면 상태 탐지)하고 제거할 수 있는 방안 등 * 포상금(등급) : 5천만원(A등급)3. 단속이 아닌 넛지 방식(보상 및 유인 등)등을 활용하여, 지정된 쓰레기 배출장소가 아닌 곳에 상습적으로 쓰레기를 배출하는 취약 지역(예: 다가구주택 (원룸, 빌라) 밀집지역 등)에 쓰레기 불법투기를 감소시킬 수 있는 방안 * CCTV, 과태료 부과 등 기존 감시, 처벌 방안 제외  * 포상금(등급) : 1천만원(C등급)4. 다양한 수단 등을 활용하여 지능화되고 있는 새로운 유형의 보이스피싱 여부를 빠르게 식별하고 사전에 알려줄 수 있는 방안  * 아이폰이나 최신 안드로이드 폰에서 통화녹음이 제한되는 기술적 한계를 고려 * 포상금(등급) : 5천만원(A등급)5. 디자인 혹은 디지털 기술 등을 활용하여 운전자에게 소방차 전용구역 혹은 소화전 주변임을 인지시키거나 불법주정차를 효율적으로 방지할 수 있는 방안 * 운전자 친화적으로 소방차 전용구역, 소화전 주변임을 인지(안내 메세지) 시키거나 불법주정차를 방지(경고음)할수 있는 방안 등 * 포상금(등급) : 1천만원(C등급)6. 빅데이터 분석 또는 ICT 등 신기술 등을 접목한 농산촌 소각산불  유발 행위(예: 무단소각 등)를 효율적으로 예방할 수 있는 방안  * 포상금(등급) : 3천만원(B등급)7. 디지털 기술 등을 활용, 1인 여성가구의 주거지 주변 안전 위험(예:  전철역에서 집으로 가는길에 발생하는 스토킹, 성범죄 등) 요소를 개선하거나,  위험 요인에 대해 신속 대응할 수 있는 방안  * 위험 유형별(심리적‧실질적/개인적‧지역적 위험 등) 위험요소 개선방안 포함 * 포상금(등급) : 3천만원(B등급)8. 사회적 디자인 또는 디지털 기술 등을 활용하여 실외구역(도로, 거리, 광장)의  금연, 흡연 구역이 잘 지켜질 수 있도록 하는 방안 * 금연,흡연 구역을 효과적으로 구분하는 디자인 시안, 흡연자를 흡연구역으로 유도하여 금연구역에서 흡연을 방지하는 방안 등 * 포상금(등급) : 1천만원(C등급)9. 고령층의 디지털(키오스크, 스마트폰 등) 기반 생활 서비스 이용(예: 기차 예매, 주문, 서류 발급 등) 개선을 위한 디지털 정보 격차 해소 방안   * 포상금(등급) : 3천만원(B등급)▷  공모기간 : 2020년 6월 15(월) ~ 9월 15일(화) 18:00※ 9번(키오스크, 스마트폰 등 디지털 정보격차 해소) 과제의 경우, ‘디지털포용 추진계획’이 발표(과학기술정보통신부, 6월 말 예정) 된 이후 아이디어 접수가 개시될 예정(추후 공지 예정)▷ 제출 방법 - 아이디어(기술적 방안)　제안 작성 : 붙임의 양식 참조- 제출 방법： ‘광화문 1번가’ 누리집 내 ‘도전.한국’ 메뉴*에서 ①참가신청서, ②개인정보 활용 동의서,    ③아이디어(솔루션) 기획서 등 3건 제출    * 인터넷 주소창에 ‘도전.한국’ 입력 후 바로 공모전 페이지로 이동   - 참가 신청 전에 사전 등록 가능, 사전 등록하는 경우 등록   대상자에게는 관련 자료‧데이터 제공 및 과제 설명회 초청 예정▷ 포상금《 포상금 기준 》 A등급 과제B등급 과제C등급 과제최우수5천만원3천만원1천만원우수2.5천만원1.5천만원0.5천만원장려1.25천만원0.75천만원0.25천만원 ▷  문의- korea@nia.or.kr, ☎ 02-853-4323, 044-205-2220, 2213","['공모전', '봉사']"
"2020년 K-water 대국민 환경 빅데이터 공모전▷ 담당자 전화번호 :042-629-3846▷공모주제  - 서비스 개발,융합데이터 발굴,2개 분야로 구분하여 시행   ※ (서비스 비즈니스)환경 빅데이터를 활용한 대국민 서비스·비즈니스 모델 기획 및 웹,앱 등 결과물 개발을 위한 개발방안   ※ (융합데이터)환경 매체간 및 他분야 취득가능한 데이터를 융합하여 새로운 정보·인사이트를 줄 수 있는 융합데이터 기획 및 결과물    * 데이터는 ‘환경 비즈니스 빅데이터 플랫폼(bigdata-environment.kr)’의 데이터를 활용하며,그 외 타 분야(금융,문화,교통,헬스케어,유통물류,통신,중소기업,지역경제,산림)플랫폼 데이터,공공데이터포털 등 활용 가능▷ 공모일정  - 최종 결과물 제출(~8.31)→ 1차 서면심사(~9.25)→ 2차 발표심사 및 시상(10월 중)   ※ 1차 서면심사 결과 상위과제를 발표심사 대상으로 선정,별도 발표자료 작성 요청 예정이며,발표심사는 ‘K-water사내 빅데이터 콘테스트’와 연계하여 시행▷ 자격요건  - 全 국민 (개인 또는 팀(5인 이내)형태로 참가)   ※ “서비스 비즈니스 모델개발”주제는 ‘대학생’과 ‘일반 및 기업’ 전형으로 구분하여 진행,‘대학생’은 학생증 사본을 제출해야 인정됨▷ 출품규격  - 결과보고서   ※ A4용지,문서여백 좌․우 20mm,위․아래․머리말․꼬리말 15mm   ※ 줄간격 160%,휴면명조,15pt로 작성   ※ 서술형으로 작성하며,총 10페이지 이내로 작성▷ 시상혜택  - 공모주제별 총 21팀 선정,시상상서비스 개발융합데이터 개발포상훈격대학생일반·기업상금(천원)과제수상금(천원)과제수상금(천원)과제수대상3,00013,00012,0001환경부장관상최우수상1,50011,50011,5001K-water시장상우수상1,00011,00011,0002장려상500350035005K-water시장상(서비스비즈니스개발)창업진흥원장상(융합데이터개발)합계7,00067,00068,0009-   ※ 시상계획은 진행과정 중 내부 상황에 따라 변경될 수 있음   ※ 수상작은 K-water물산업플랫폼센터 스타트업 지원프로그램과 연계하여 지원▷ 제출서류  - 결과보고서(참고 1제시)및 결과물* 1식   ※ (서 비 스)웹·앱 개발방안,화면정의서,서비스 시나리오 등(융합데이터)데이터셋(컬럼정의서,테이블정의서 포함)","['공모전', 'IT', '과학']"
