["교양관:교양관", 8661]
["교육관:교육관", 5296]
["서관:서관", 3990]
["창의관:창의관", 3538]
["서관:교양관", 3476]
["교양관:서관", 3265]
["하나과학관:하나과학관", 3088]
["L-P:L-P", 3085]
["정경관:정경관", 2884]
["정경관:교양관", 2700]
["교양관:정경관", 2670]
["교양관:국제관", 2009]
["국제관:교양관", 1868]
["현차관:L-P", 1813]
["법학관신관:교양관", 1809]
["교양관:L-P", 1787]
["교양관:교육관", 1780]
["교양관:법학관신관", 1760]
["L-P:교양관", 1745]
["교육관:교양관", 1637]
["L-P:현차관", 1593]
["정보통신관:정보통신관", 1485]
["교양관:법학관구관", 1324]
["아산이학관:아산이학관", 1242]
["법학관구관:교양관", 1174]
["교양관:하나과학관", 1070]
["하나과학관:교양관", 1003]
["현차관:현차관", 986]
["창의관:공학관", 962]
["교양관:현차관", 928]
["현차관:교양관", 926]
["법학관신관:법학관신관", 923]
["우정간호학관:우정간호학관", 839]
["서관:법학관신관", 826]
["법학관구관:서관", 821]
["국제관:국제관", 815]
["서관:법학관구관", 802]
["서관:정경관", 797]
["법학관신관:서관", 788]
["서관:교육관", 776]
["법학관구관:법학관구관", 763]
["정경관:서관", 718]
["법학관신관:정경관", 705]
["교육관:서관", 692]
["창의관:신공학관", 688]
["법학관구관:법학관신관", 686]
["아산이학관:교양관", 647]
["L-P:서관", 642]
["L-P:법학관신관", 602]
["공학관:창의관", 595]
["정경관:법학관신관", 583]
["법학관신관:L-P", 573]
["아산이학관:하나과학관", 570]
["국제관:서관", 550]
["서관:국제관", 546]
["교양관:창의관", 531]
["교육관:법학관신관", 515]
["서관:L-P", 502]
["창의관:교양관", 496]
["교양관:아산이학관", 494]
["신공학관:창의관", 492]
["생명과학관(서관):생명과학관(서관)", 489]
["생명과학관(동관):생명과학관(동관)", 486]
["교육관:현차관", 467]
["법학관신관:교육관", 465]
["법학관신관:법학관구관", 460]
["아산이학관:공학관", 456]
["미디어관:미디어관", 446]
["아산이학관:국제관", 419]
["교양관:미디어관", 404]
["L-P:국제관", 401]
["정경관:L-P", 401]
["신공학관:신공학관", 399]
["생명과학관(서관):하나과학관", 394]
["미디어관:교양관", 390]
["과도관:창의관", 384]
["L-P:정경관", 383]
["하나과학관:창의관", 374]
["하나과학관:아산이학관", 373]
["법학관구관:교육관", 370]
["교육관:법학관구관", 370]
["공학관:공학관", 363]
["L-P:교육관", 359]
["창의관:과도관", 357]
["교육관:사대신관", 342]
["하나과학관:생명과학관(서관)", 340]
["정경관:교육관", 336]
["아산이학관:과도관", 332]
["국제관:교육관", 329]
["교양관:생명과학관(동관)", 328]
["사대신관:교양관", 327]
["L-P:법학관구관", 327]
["현차관:교육관", 322]
["서관:현차관", 319]
["이학관:아산이학관", 317]
["교육관:L-P", 316]
["창의관:하나과학관", 312]
["국제관:L-P", 311]
["국제관:법학관신관", 310]
["생명과학관(동관):생명과학관(서관)", 309]
["생명과학관(서관):생명과학관(동관)", 307]
["생명과학관(동관):교양관", 301]
["현차관:서관", 297]
["교육관:정경관", 290]
["생명과학관(동관):하나과학관", 288]
["교양관:사대신관", 283]
["하나과학관:생명과학관(동관)", 275]
["정보통신관:과도관", 270]
["법학관신관:국제관", 270]
["법학관신관:현차관", 267]
["생명과학관(서관):교양관", 266]
["교양관:이학관", 265]
["교양관:과도관", 263]
["국제관:아산이학관", 260]
["정보통신관:교양관", 259]
["교양관:공학관", 259]
["현차관:법학관신관", 256]
["과도관:신공학관", 254]
["법학관구관:정경관", 248]
["정경관:현차관", 245]
["국제관:정경관", 245]
["교육관:국제관", 244]
["하나과학관:국제관", 243]
["국제관:하나과학관", 235]
["법학관구관:L-P", 234]
["법학관구관:현차관", 233]
["교양관:생명과학관(서관)", 225]
["법학관구관:국제관", 225]
["공학관:교양관", 225]
["사대신관:서관", 224]
["과도관:과도관", 224]
