,id,title,link,host,duedate,image,description,tags
0,1,아름다운가게 종로책방 2학기 정기 자원활동가 모집,https://linkareer.com/activity/22981,아름다운가게 책방,8/31/2020,,"[코로나 관련 안내]- 아름다운가게는 안전한 자원활동 현장 지침을 적용 중이며 수시 소독, 마스크 필수 착용합니다.- 종로책방(종각역)은 불특정 다수가 방문하는 지역이므로, 코로나 관련 걱정되시는 분들은 봉사활동 신청을 다시 한 번 생각해 주시기 바랍니다.﻿* 신중한 신청 바랍니다. * 신청 후 갑자기 취소하시면 다른 사람의 지원 기회를 막게되고추가 모집 등 운영상 어려움이 많습니다.* 잦은 결석 / 지각 / 연락두절 / 기간 다 채우지 못하고 중간 활동종료 하시면, 다른 봉사자에게 피해가 되니 약속 잘 지켜주실 분만 지원 바랍니다.[아름다운가게 종로책방] 2020년 2학기 정기 자원봉사자 모집 (~8.31)1.  활동내용: 재사용나눔가게 운영지원(책방)- 기증품(책/음반)관리, 책방 매장 운영2.  활동시간: 주 1회 4시간~4시간 30분 활동(고정요일/ 고정시간)- 오픈조 (11:30~16:00)- 마감조(16:00~20:00)﻿* 마감조는 마감정산 업무가 길어질 경우 10분 정도 늦게 끝날 수 있으며, 이 경우 10분 단위로 추가 봉사활동 시간이 인정 됩니다.3. 활동기간: - 2020년 9월 1일 ~ 12월 27일. 일요일, 공휴일 휴무-> 활동기간 중 개인사정으로 결석은 가능하지만, 출석률 80% 이상은 유지해 주셔야 합니다.-> 추후 다음 기수(겨울방학) 연장 활동 가능, 연장 활동 시 요일/시간 변경 가능4. 활동장소: - 종로책방:  서울 1호선 종각역 4번출구 스타벅스 종각점 지하 1층 (종로구 종로 64 백합빌딩 지하 1층)종로책방 네이버 지도 링크http://naver.me/GMEkIs1I5. 활동 시작일: 활동 시작일 필참 / 활동 시작일 변경 불가﻿월요일조(9월 7일), 화요일조(9월 1일), 수요일조(9월 2일),목요일조(9월 3일), 금요일조(9월 4일), 토요일조(9월 5일), 일요일조(9월 6일)﻿6. 현재 지원가능 시간: - 팀 구성 (남자 1~2명 + 여자 2~3명) 상황상 성별 표시 모집하오니 양해 바랍니다.- 오픈조 11:30~16:00 (4시간 30분)- 마감조 16:00~20:00 (4시간)﻿* 마감조는 마감정산 업무가 길어질 경우 10분 정도 늦게 끝날 수 있으며, 이 경우 10분 단위로 추가 봉사활동 시간이 인정 됩니다.* 공석은 신청 상황에 따라 수시로 업데이트 됩니다 *(아래 공석은 8월 20일 업데이트 되었습니다.)- 월요일 오픈(성별 무관 1명)- 월요일 마감(마감)- 화요일 오픈(성별 무관 2명)- 화요일 마감(마감)- 수요일 오픈(마감)- 수요일 마감(마감)- 목요일 오픈(성별 무관 1명)- 목요일 마감(성별 무관 1명)- 금요일 오픈(마감)- 금요일 마감(성별 무관 1명)- 토요일 오픈(마감)- 토요일 마감(마감)﻿* 신중한 신청 바랍니다. * 신청 후 갑자기 취소하시면 다른 사람의 지원 기회를 막게되고추가 모집 등 운영상 어려움이 많습니다.* 잦은 결석 / 지각 / 연락두절 / 기간 다 채우지 못하고 중간 활동종료 하시면, 다른 봉사자에게 피해가 되니 약속 잘 지켜주실 분만 지원 바랍니다.7. 봉사자 교육 안내1) 교육 1회 필참.2) 교육은 정시 시작/정시 종료됩니다.3) 교육 당일 10분 이상 지각 시 교육장 입장 불가하오니, 여유있게 오시기 바랍니다.4) 아래 교육 참여 힘드신 분은 추후 추가 모집 시 지원 바랍니다.   (8월 25일 전후 추가 모집 공고 예정)* A : 8월 29일(토) 13시~15시 (2시간) 마감* B : 8월 30일(일) 13시~15시 (2시간)* C : 9월 5일(토) 13시~15시 (2시간)﻿[사전 교육장 위치]- 아름다운가게 서울본부 1층 교육장(서울 중구 소공로 34 아름다운가게, 회현 119 안전센터 옆 건물)네이버 지도 링크: http://naver.me/5xkbZnKE8. 신청 / 문의1) 카카오톡 접수만 받습니다. - 개인정보 문제로 대리 신청 불가. 본인이 직접 신청하셔야 합니다.아이디 udhiro / 010-3561-2207 (김경남 간사)2) 지원양식: 아래와 같이 적어주세요.[종로책방 지원 / 이름(성별) / 연락처 / 지원요일, 시간(1순위/2순위) / 교육타임]예:) 종로책방 지원 /홍길동(여)/010-3561-2207/1순위 수요일 오픈조, 2순위 목요일 마감조/ B타임가능하면 1순위로 배치해 드리지만, 스케줄 상황에 따라 2순위 배치 될 수 있습니다.배치 결과는 24시간안에 회신 드립니다. 1순위만 가능 하신 분은 1순위만 적어주세요.- 모든 문의는 늦은 시간에도 답변해 드리니 부담 갖지 마시고 연락주세요 ^^- 문의: 카카오톡(udhiro) / 문자(010-3561-2207)3) 참고사항- 우수봉사자 추천서 발급(발급 기준 충족 시 / 1년이상 활동, 출석률 80% 이상)- 외국인 지원 가능- 봉사활동확인서 발급(1365 자원봉사포털에 등록)- 학점인정: 학교에 사회봉사 과목 신청 시   (1~2학점 인정, 학교마다 시스템이 다르니 자세한 내용은 학교에 문의하시면 됩니다.)- 팀으로 구성되며 동아리 같이 재미있게 활동합니다.* 신중한 신청 바랍니다. * 신청 후 갑자기 취소하시면 다른 사람의 지원 기회를 막게되고추가 모집 등 운영상 어려움이 많습니다.* 잦은 결석 / 지각 / 연락두절 / 기간 다 채우지 못하고 중간 활동종료 하시면, 다른 봉사자에게 피해가 되니 약속 잘 지켜주실 분만 지원 바랍니다.","['대외활동', '경영', '봉사']"
1,2,롯데푸드 대학생 마케터 히든서포터즈 18기 모집,https://linkareer.com/activity/44179,롯데푸드,08/23/2020,https://s3.ap-northeast-2.amazonaws.com/media.linkareer.com/activity_manager/content/2020-08-071024117456370_content.png,"★ 모집내용지원자격 : 대학교 재학 또는 휴학생 (블로그 및 SNS 활용자) (4학년 2학기 지원 불가)선발인원 : 총 15명  ① 일반전형 (12명)     - 우대사항 :  SNS를 적극적으로 활용, 콘텐츠 제작 경험이 있는 사람  ② 영상/디자인전형 (3명)    - 우대사항 : 크리에이티브 콘텐츠 시청을 즐기며 영상 혹은 디자인 툴을 다룰 수 있는 사람★ 선발과정지원기간 : 7/30 (목) ~ 8/23 (일) (24:00까지)서류발표 : 8/25 (화) *카페 공지 및 면접대상자 개별 연락 예정면접일정 : 8/31 (월) *면접 대상자 개별 연락, 화상면접 진행 예정최종발표 : 9/1 (화)발 대 식 : 9/4 (금) (15:00 예정)활동기간 : 2020년 9월 ~ 2021년 2월말 (6개월간)정기모임 : 매월 마지막주 금요일 진행 (月 1회, 15:00 ~ )※ 최종 합격자의 경우, 금요일 오후 시간대 수업 조율 바랍니다.※ 발대식(9/4), 해단식(21년 2월말 금요일 예정)은 필참입니다.※ 회사의 사정으로 인해 일정은 다소 변경될 수 있습니다.★ 지원방법① 네이버 롯데푸드 소비자 마케터 카페 접속 : http://cafe.lottefoods.co.kr② 히든서포터즈 18기 모집글 지원서 다운로드 https://cafe.naver.com/lottesamkang/11310③ 이메일 접수 : sachoe@lotte.net※ 회사 계정인 관계로 외부에서 수신 확인이 안될 수 있으니 참고 바랍니다. ※ 이메일 접수시 파일명은 아래와 같이 작성 후 제출 바랍니다.  - 일반전형 : [성명]○○대학교    ex.[김푸드]롯데대학교  - 영상/디자인전형 : [성명]○○대학교_영상디자인     ex. [김푸드]롯데대학교_영상디자인★ 활동내용① 온라인 마케팅 활동 : SNS (블로그, 인스타그램, 유튜브 등) 제품 홍보 콘텐츠 제작 (개인활동)② 리서치 미션 활동 : 트렌드 조사 및 활용 아이디어 제안 (개인활동)③ 마케팅 프로젝트 : 마케팅 전략 기획 및 콘텐츠 제작 활동 (2회) (팀활동)④ 기업 체험 : 자사 쿠킹스튜디오 쿠킹 클래스 및 임직원 간담회 진행⑤ 마케팅 강의 진행 : 실무진 마케팅 강의 진행※ 회사의 사정으로 인해 일정은 다소 변경될 수 있습니다. ★ 활동혜택① 월별 활동비 및 롯데푸드 제품 지급② 월별 우수 활동자 추가 포상③ 최종 우수팀 및 최종 개인 우수자 상장 및 상금 지급④ 기업 체험 및 실무진 강의 등 식품사 이해를 높일 수 있는 경험 제공  ⑤ 현업 실무진과 다양한 커뮤니케이션 기회 제공⑥ 명함 제공 및 프로필 사진 촬영 기회 제공※ 오프라인모임 2회 이상 불참시 수료 불가 ★ 모집내용지원자격 : 대학교 재학 또는 휴학생 (블로그 및 SNS 활용자) (4학년 2학기 지원 불가)선발인원 : 총 15명  ① 일반전형 (12명)     - 우대사항 :  SNS를 적극적으로 활용, 콘텐츠 제작 경험이 있는 사람  ② 영상/디자인전형 (3명)    - 우대사항 : 크리에이티브 콘텐츠 시청을 즐기며 영상 혹은 디자인 툴을 다룰 수 있는 사람★ 선발과정지원기간 : 7/30 (목) ~ 8/23 (일) (24:00까지)서류발표 : 8/25 (화) *카페 공지 및 면접대상자 개별 연락 예정면접일정 : 8/31 (월) *면접 대상자 개별 연락, 화상면접 진행 예정최종발표 : 9/1 (화)발 대 식 : 9/4 (금) (15:00 예정)활동기간 : 2020년 9월 ~ 2021년 2월말 (6개월간)정기모임 : 매월 마지막주 금요일 진행 (月 1회, 15:00 ~ )※ 최종 합격자의 경우, 금요일 오후 시간대 수업 조율 바랍니다.※ 발대식(9/4), 해단식(21년 2월말 금요일 예정)은 필참입니다.※ 회사의 사정으로 인해 일정은 다소 변경될 수 있습니다.★ 지원방법① 네이버 롯데푸드 소비자 마케터 카페 접속 : http://cafe.lottefoods.co.kr② 히든서포터즈 18기 모집글 지원서 다운로드 https://cafe.naver.com/lottesamkang/11310③ 이메일 접수 : sachoe@lotte.net※ 회사 계정인 관계로 외부에서 수신 확인이 안될 수 있으니 참고 바랍니다. ※ 이메일 접수시 파일명은 아래와 같이 작성 후 제출 바랍니다.  - 일반전형 : [성명]○○대학교    ex.[김푸드]롯데대학교  - 영상/디자인전형 : [성명]○○대학교_영상디자인     ex. [김푸드]롯데대학교_영상디자인★ 활동내용① 온라인 마케팅 활동 : SNS (블로그, 인스타그램, 유튜브 등) 제품 홍보 콘텐츠 제작 (개인활동)② 리서치 미션 활동 : 트렌드 조사 및 활용 아이디어 제안 (개인활동)③ 마케팅 프로젝트 : 마케팅 전략 기획 및 콘텐츠 제작 활동 (2회) (팀활동)④ 기업 체험 : 자사 쿠킹스튜디오 쿠킹 클래스 및 임직원 간담회 진행⑤ 마케팅 강의 진행 : 실무진 마케팅 강의 진행※ 회사의 사정으로 인해 일정은 다소 변경될 수 있습니다. ★ 활동혜택① 월별 활동비 및 롯데푸드 제품 지급② 월별 우수 활동자 추가 포상③ 최종 우수팀 및 최종 개인 우수자 상장 및 상금 지급④ 기업 체험 및 실무진 강의 등 식품사 이해를 높일 수 있는 경험 제공  ⑤ 현업 실무진과 다양한 커뮤니케이션 기회 제공⑥ 명함 제공 및 프로필 사진 촬영 기회 제공※ 오프라인모임 2회 이상 불참시 수료 불가 문의 : 롯데푸드 소비자마케터 담당 (sachoe@lotte.net / 02-3469-3393)[출처] [모집공고] 롯데푸드 대학생마케터 히든서포터즈 18기 모집 (~8/23까지) (롯데푸드 소비자 마케터 (그린스푼, 히든서포터즈)) | 작성자 최상아[출처] [모집공고] 롯데푸드 대학생마케터 히든서포터즈 18기 모집 (~8/23까지) (롯데푸드 소비자 마케터 (그린스푼, 히든서포터즈)) | 작성자 최상아","['대외활동', '기타']"
2,3,코로나이후) 2021년 캐나다(Christian-Outdoor Activity) 해외봉사활동(모집중),https://linkareer.com/activity/34069,문화체험본부,8/31/2020,https://s3.ap-northeast-2.amazonaws.com/media.linkareer.com/activity_manager/content/2020-02-251604520442890_content.png,"***전세게적 코로나 팬더믹으로 인해 2020년 모든 일정이 2021년 03월이후로 연기되어 모집중에 있습니다*** 2021-2022년 문화체험본부에서 제공하는 장/단기 국제회의/Outdoor 대외활동 프로그램은 ""미국.영국.캐나다.호주.뉴질랜드.아일랜드""등 영어권에서 진행되는 청소년, 성인들을 위한 국제회의. Activity, 단체 수련회, 휴양 서비스 등을 제공하는 센터(총50여개)에서, 센터를 방문 및 이용하는 Guest를 환영하고, 응대하는 일을 하게 됩니다. 관련분야 봉사 또는 인턴경험이 부족하더라도 기본적인 서비스 마인드와 책임감, 성실함이 있다면 도전해 볼수 있는 이색 문화체험프로그램으로써 현지 청소년 및 성인, 그리고 각국의 다양한 자원 봉사자들과의 만남을 통해 뜻깊은 봉사활동 참여기회가 제공됩니다. 임무를 수행하는 동안 아래 기관의 경우, 현지 기관으로 부터 “숙식제공 및 월 평균 150-200파운드의 급여”가 제공되며 금번 추가모집에 총 00명의 해외 자원봉사자를 선발하니 관심있는 분은 문화체험본부로 지원해 주시기 바랍니다. 모집부문모집인원담당업무자격요건Volunteer-InternChristian Assistant(기독교 봉사 인턴)00명▶ 커뮤니티 하우스 및 시설 관리▶ 커뮤니티내 아웃도어 활동 보조▶ 게스트(청소년,교회,학교,가족 단체 등) 관리▶ 커뮤니티 관리 사무실내 행정 업무▶ BASIC 영어 가능자(최소 의사소통 가능한 자)▶ 만 18-30세 이하의 신체건강한 자로, 봉사단체에서 필요한 업무를 함께 수행할 수 있는 자▶ 외향적인 성격으로 다양한 국적의 해외봉사자 및 현지 스텝들과 함께 단체 생활을 문제없이 수행 할 수 있는 자▶ 최소 6개월 이상 또는 12개월 참여 가능자▶ 기독교 신자로써 기본적인 서비스 마인드와 책임감, 성실함이 강한 자▶ 단체활동 또는 봉사활동 경험자 우대▶ 컴퓨터 프로그램 사용 가능자 및 행정 능력 보유자 우대▶ 밝고 적극적인 성격의 소유자▶ 기독교 신자로써 기본적인 서비스 마인드와 책임감, 성실함이 강한 자▶ 근 무 지 역 :  미국. 영국, 캐나다 아일랜드. 호주. 뉴질랜드▶ 모 집 부 문 :  Volunteer Assistant▶ 근 무 시 간 :  하루 평균 5~8시간 근무(상황에 따라 변경 가능)▶ 근 무 일 수 :  주 5~6일제▶ 참 여 기 간 :  매년 상반기 및 하반기 - 년/2회 모집▶ 비 자 종 류 : 자원봉사비자 또는 워킹홀리데이 비자▶ 숙박(개인방 또는 Shared Room) 및 급식 제공▶ 인터넷, TV, 유니폼, 세탁실, 샤워실 등 기타 편의시설 제공▶ 개인 휴가/휴일 제공▶ 활동종료시 수료증 발급▶ 월 150-200파운드 용돈 지급(국가별/기관별로 각기 상이함)▶ 각국의 다양한 자원 봉사자들과의 생활을 통한 문화교류/언어습득 기회※ 제공혜택은 국가별/기관별로 조금씩 상이하니. 반드시 기관이 확정된 이후. 반드시 현지기관 서류를 통해 자신이 참여하는 기관에서 제공하는 혜택(용돈액수) 및 근무조건(근무시간) 관련하여 확인이 필요합니다.","['대외활동', '사회', '봉사']"
3,4,멀티캠퍼스 4차 산업혁명 선도인력양성 2020 교육생 모집,https://linkareer.com/activity/38694,멀티캠퍼스,10/6/2020,https://s3.ap-northeast-2.amazonaws.com/media.linkareer.com/activity_manager/content/2020-05-131806196765680_content.png,고용노동부주관 기관평가 5년 인증 최우수 기관!국내 최고의 SW 전문인력 양성기관멀티캠퍼스가 준비한 2020년 IT 무료 취업 교육 프로그램!2020 4차산업혁명 선도인력양성 교육생 모집선착순 모집 마감이니 빨리빨리 지원하세요!![교육 프로그램] *과정명을 클릭하면 상세내용 확인 가능합니다.- 딥러닝 기반 AI 엔지니어링 - 서비스 산업 데이터를 활용한 빅데이터 분석 실무- 빅데이터를 활용한 IoT 시스템 개발- 융복합 프로젝트형 빅데이터 분석 서비스 개발- 융복합 프로젝트형 AI 서비스 개발- 융복합 프로젝트형 IoT 서비스 개발- 융복합 프로젝트형 클라우드(MSA) 서비스 개발,"['대외활동', 'IT']"
4,5,보건복지부 중앙자살예방센터 자살유발정보 모니터링단 지켜줌인(人) 모집,https://linkareer.com/activity/34602,보건복지부,11/30/2020,https://s3.ap-northeast-2.amazonaws.com/media.linkareer.com/activity_manager/content/2020-03-041712036568460_content.png,2020 중앙자살예방센터 자살유발정보 모니터링단 지켜줌인(人) 모집▷ 모집 기간    - 2020년 3월 3일 ~ 11월 30일▷ 모집 대상    - 생명존중문화 조성에 동참하고 싶은 대한민국 성인남녀 (만 19세 이상)▷ 활동 내용    - 온라인 자살유발정보 모니터링 및 신고    - 온라인 자살 긴급구조대상자 발견 및 신고▷ 활동 혜택    <봉사활동시간>    - 자살유발정보 신고 6건당 1시간    - 일일 최대 8시간까지 인정    - 봉사활동 시간은 1365센터 ID로 부여(http://www.1365.go.kr/)▷ 문의 사항    - 중앙자살예방센터 미디어정보팀 02-2203-0053(내선 332)​,"['대외활동', '봉사']"
5,6,삼성멀티캠퍼스 IT무료취업교육!  혁신성장 청년인재 집중양성 인공지능·클라우드교육생 모집,https://linkareer.com/activity/39417,멀티캠퍼스,8/24/2020,https://s3.ap-northeast-2.amazonaws.com/media.linkareer.com/activity_manager/content/2020-05-261710344710810_content.png,"★선착순 마감중★ 멀티캠퍼스 인기과정! IT무료취업교육! 혁신성장청년인재집중양성! 급증하는 인공지능 보안 수요에 맞추어인공지능과 보안 기술을 한번에 습득할수 있는<인공지능을 활용한 보안 전문가 양성> 클라우드 시장 확대에 따라 현업 니즈가 높은MSA(마이크로서비스 아키텍처) 분야 학습이 가능한<클라우드를 활용한 마이크로서비스 아키텍처 전문가> ▶ https://bit.ly/3d3Z2x8 ■ 신청대상- 대한민국 국적 청년 구직자(만 34세 이하)- 2021년 3월 이전 졸업(예정)자※ 고등학교 및 전문 대학은 기졸업자에 한함 ■ 교육특징- 교육비 전액 무료- 사례 기반, 현업실무중심 학습- 교육생 · 현업멘토 4:1 매칭 맞춤형 교육- 취업지원서비스 ■ 교육기간- 2020.07.06 ~ 2020.12.18 ■ 모집기간- 2020.05.23 ~ 마감시까지  ※ 선착순 마감 ■ 신청방법- 멀티캠퍼스 홈페이지(www.multicampus.com) ▷ 국비무료교육 ▷ 혁신성장청년인재 ▷ 교육신청▶ https://bit.ly/3d3Z2x8","['대외활동', 'IT']"
6,7,굿네이버스 NGO Traveler 2기,https://linkareer.com/activity/42821,굿네이버스,9/14/2020,,"‘NGO를 배우는 시간’굿네이버스 NGO Traveler 2기 모집      NGO는 세상을 어떻게 바꾸어 가는가?우리가 NGO를 알아야 하는 이유와세상에 NGO가 필요한 이유      NGO Traveler 란?직접 현장에서 NGO를 경험하는 교육 프로그램입니다.현업 NGO 활동가들과 함께하는 더불어 사는 세상을 만들기 위한진정성 있는 현장 활동과 이야기에 함께하세요.   ■활동기간 : 2020년 9월 ~ 12월 ■활동일정 : 총 8회기(회당 3시간 가량/세부일정은 지역 별 상이)■지원자격 ① 대학생 ② 월 2회 이상 활동이 가능하신 분(총 8회) ③ 프로그램 진행 지역 거주자 *진행 지역(서울, 인천, 경기, 충청, 대전, 광주전남, 대구경북, 울산, 부산, 경남, 제주) ④ 해외아동1:1결연(월 3만원) 나눔활동 가능하신 분 ■선발인원 : 11개 지역 00명(정원 충원 시 지역 별 마감 될 수 있음)   ■활동내용 ① NGO 활동가 강연 [MegaTrends, NGO, SDGs, NGO마케팅 등]  ② 팀 기반 가상 NGO 설립 및 프로그램 기획 ③ 굿네이버스 이슈 캠페인 기획 및 참여 ④ 관심 NGO 방문 및 특강 ⑤ 웰컴이벤트 및 수료식 ⑥ 해외아동 1:1결연    ■활동장소 : 각 지역 굿네이버스   ■활동혜택 ① 수료증 및 굿네이버스 회원증서 ② 굿네이버스 이슈 캠페인 기획 및 운영 포트폴리오 ③ 자원봉사활동 시간 부여(캠페인 기획 및 진행 시간만 해당) ④ 우수 Traveler 시상   ■선발과정 및 기간 ① 서류접수 : 9월 14일(월) 12:00까지 신청서 작성 후 메일 제출 -NGO Traveler 네이버 카페에서 다운로드 및 작성 후 advocacy@gni.kr 메일 제출 -카페 URL : https://cafe.naver.com/ngotraveler -각 지역 별 굿네이버스 대표 문의처 1) 서울 : 굿네이버스 서울본부(02-2088-1395) 2) 인천 : 굿네이버스 인천본부(032-442-1391) 3) 경기 : 굿네이버스 경기1본부(031-778-7020) 4) 충청 : 굿네이버스 충북본부(043-288-9601) 5) 대전 : 굿네이버스 대전서부지부(042-826-0140) 6) 광주전남 : 굿네이버스 광주전남본부(062-376-6566) 7) 대구경북 : 굿네이버스 대구경북본부(053-955-0167) 8) 울산 : 굿네이버스 울산나눔인성교육센터(052-716-1055) 9) 부산경남 : 굿네이버스 부산울산경남본부(051-711-5670) 10) 제주 : 굿네이버스 제주지부(064-805-4200) ② 서류합격자발표 : 9월 15일(화) ③ 면접일정 : 2020년 9월 3주차(장소 및 시간 별도 공지) ④ 최종합격자 발표 : 2020년 9월 4주차(개별 연락처로 합격 안내) ⑤ 발대식 및 사전모임 : 2020년 9월 5주차 예정   ","['대외활동', '과학', '봉사']"
7,8,멀티캠퍼스 무료 IT 취업교육  융복합 프로젝트형 IoT 서비스 개발 과정 모집,https://linkareer.com/activity/39009,멀티캠퍼스,10/6/2020,https://s3.ap-northeast-2.amazonaws.com/media.linkareer.com/activity_manager/content/2020-05-191715060015820_content.png,"멀티캠퍼스 무료 IT 취업 교육[4차산업 선도인력] 융복합 프로젝트형 IoT 서비스 개발○ 학습목표사물인터넷 서비스 개발 및 구현에 필요한 프로그래밍 개발 능력부터, 센서 활용 데이터수집 능력 및 엣지 디바이 · 게이트웨이 디바이스 제어 능력을 학습하여 사물인터넷 분야 전문가를 양성합니다.해당 전문지식을 바탕으로 4차 산업의 대표 기술인 빅데이터·인공지능·사물인터넷·클라우드 4개 분야의 융복합 프로젝트에서 IoT 분야를 담당하여 수행할 수 있도록 합니다.○ 학습대상전공무관(IT학과 전공자 우대)2021년 3월 이전 졸업(예정)자필기 및 면접 전형 우수자- 입과 테스트 : 각 교과목별 예비지식에 해당하는 문제 출제 (4지선다형 25문제)※ 출제범위 및 상세 선발기준은 본과정의 과정소개서를 참조하세요. (맛보기 클릭)○ 교육일정: 2020.06.29(월) ~ 2020.12.16(수)","['대외활동', 'IT']"
8,9,[잠자리] 잠자리프렌즈 서포터즈,https://linkareer.com/activity/43475,잠자리,8/30/2020,,"잠자리 제휴호텔, 모텔 주중 무료이용권 무한대 제공각종 미션 & 조별활동을 통한 선물 지급활동 종료 후 자동 호스트 자격 부여, 매월 1회 숙박이용권 지급수료증 및 인증서향후 잠자리 입사 시 혜택 및 가산점  * 네이버 블로그, 유튜브채널을 운영하는 20대 남여 누구나 지원가능!  자세한내용은 홈페이지를 확인해주세요 :) https://www.alljam.co.kr/board/notice/view/wr_id/7982 ","['대외활동', '사회', '경영']"
9,10,대학생 경제 금융 교육 봉사단 15기 모집,https://linkareer.com/activity/44681,KB 폴라리스,8/30/2020,https://s3.ap-northeast-2.amazonaws.com/media.linkareer.com/activity_manager/content/2020-08-141421344092850_content.png,"[폴라리스] 대학생 경제 금융 교육 봉사단 15기 모집(~8/30)1. 모집개요⚪ 모집기간 : 2020년 8월 5일(수) ~ 2020년 8월 30일(일) 자정까지⚪ 모집대상 : 1순위) 학자금 대출이 있는 대학생 및 저소득층 대학생2순위) 일반 대학생 * 서류심사 동점자에 한하여⚪ 모집인원 : 총 130명구분서울경기인천원주대전천안광주양산마산부산합계15기20명15명20명10명10명10명15명10명10명10명130명⚪ 주요일정 :1) 1차 서류합격자 발표 : 9월 2일(수) 오후 6시 홈페이지 공고2) 지역별 2차 면접심사 진행 : 9월 3일(목) ~ 9월 7일(월)3) 최종합격자 발표 : 2020년 9월 9일(수) 오후6시 * 홈페이지 공고 및 개별 연락4) 지역별 오리엔테이션, 사전교육 : 9월 중 / 지역별 상이함⚪ 지원방법 : 온라인 http://www.ilovepolaris.com 접수⚪ 15기 활동기간 : 2020년 9월 ~ 2021년 2월 (6개월간)﻿","['대외활동', '경영']"
