,id,title,link,host,duedate,image,description,tags
0,1,한국야쿠르트 마케팅 공모전,https://linkareer.com/activity/42908,한국야쿠르트,8/31/2020,https://s3.ap-northeast-2.amazonaws.com/media.linkareer.com/activity_manager/content/2020-07-201411381379420_content.png,"2020년 한국야쿠르트 마케팅 공모전   ■ 공모주제 · 언택트 시대에 걸맞은 차별화된 마케팅전략 및 홍보영상 모집 ■ 공모분야공모주제참가대상제출형식# 아이디어 공모- 언택트 소비환경에 따른 한국야쿠르트만의마케팅 전략 차별화 방안(Ex.정기구독서비스, 20~30대 유입방안 등)· 전국 대학생 및 대학원생 대상  (개인 1인 제한, 단체 불가)· 파일종류 : 한글 또는 파워포인트 · 규   격 : 제한없음· 파일용량 : 10MB 이하# 디지털 미디어 공모 한국야쿠르트 제품 및 브랜드 이미지 관련 60초 광고 + 징글(선택) 제작· 개인 또는 팀(3인까지) 참가 가능  (기타 참자자격 제한 없음)· 파일분량 :90초 이내(100MB이하) · 해상도 : 740*480 이상의 영상파일· 파일형식 : AVI, MP4   ■ 공모기간 및 일정 · 홍보기간 : 2020.07.20(월) ~ 08.31(월) · 제출기간 : 2020.08.10(월) ~ 08.31(월) · 수상발표 : 2020.09.09(수) · 상품시상 : 2020.09.11(금)   ■ 제출처 및 문의 - hyrecruit@yakult.co.kr    ■ 상금내역최우수상우수상참가상아이디어 부분디지털 미디어 부분작품 1점 (500만원)작품 1점(100만원)작품 1점 (100만원)작품 30점 (HyFresh 1만원 쿠폰)  (수상작 상금 수령에 대해 부과되는 제세공과금은 수상자 본인이 부담)■ 홈페이지 가기http://m.hyfresh.co.kr/exhibition/eventDetail.do?BBM_ID=1000004217&MENU_ID=C10000000193   ■ 유의사항 - 접수 마감은 08.31(월) 16시까지 제출된 작품에 한하여 인정됩니다.  - 수상작에 한하여 한국야쿠르트는 수상자와 협의하여 제품 및 마케팅 활용용도로 사용 할 수 있습니다. - 입상하지 않은 응모작은 공모전 종료일로부터 2개월 이내에 모두 폐기합니다.  다만, 응모자의 반환 요구시 30일 이내에 반환 가능합니다. - 타인의 지식재산권을 침해하였을 경우 발생되는 모든 민·형사상 책임은 응모자에게 있습니다.  - 당사는 동 건 저작물을 변형하거나 이용할 경우 응모자와 별도로 협의하여 정합니다. - 출연하는 모든 인물의 초상권에 수집 및 이용에 대한 동의를 받아야 합니다.  - 공모 작품은 타 공모전에 출품되지 않은 개인(또는 팀)의 순수 창작물이여야 합니다.  - 응모자는 응모작이 제3자의 저작권을 침해하지 않도록 주의의무를 다하여야 합니다.  - 제출된 응모작이 당사 기준에 미흡할 경우 선정하지 않을 수 있습니다.","['공모전', '경영']"
1,2,행정안전부 제1회 도전.한국 대국민 아이디어 공모전,https://linkareer.com/activity/40817,행정안전부,9/15/2020,https://s3.ap-northeast-2.amazonaws.com/media.linkareer.com/activity_manager/content/2020-06-171823590796870_content.png,"제1회 도전.한국 대국민 아이디어 공모전▷  지원자격 : 관심 있는 국민‧기업‧단체 누구나※ 과제별 소관 부처 및 산하 공공기관 구성원의 아이디어가 선정된 경우 포상은  배제하고 표창만 실시, 다만 타 부처 공무원은 포상 가능 ▷ 지원분야(과제)1. 디지털 기술 등을 활용하여 반려견‧반려묘 유기를 예방하거나, 또는 동물 등록제를 활성화 할 수 있는 방안 * 예 : 동물 등록(칩 사용 등) 비용을 절감할 수 있는 방안 등 * 포상금(등급) : 3천만원(B등급)2. 바다에 가라 앉아 있는(침적) 쓰레기(플라스틱 쓰레기, 폐그물 등)를 비용 효율적으로 탐지하고 제거할 수 있는 기술적 방안 * 침적 쓰레기를 탐지(예: 특정 장비를 활용하여 바닥면 상태 탐지)하고 제거할 수 있는 방안 등 * 포상금(등급) : 5천만원(A등급)3. 단속이 아닌 넛지 방식(보상 및 유인 등)등을 활용하여, 지정된 쓰레기 배출장소가 아닌 곳에 상습적으로 쓰레기를 배출하는 취약 지역(예: 다가구주택 (원룸, 빌라) 밀집지역 등)에 쓰레기 불법투기를 감소시킬 수 있는 방안 * CCTV, 과태료 부과 등 기존 감시, 처벌 방안 제외  * 포상금(등급) : 1천만원(C등급)4. 다양한 수단 등을 활용하여 지능화되고 있는 새로운 유형의 보이스피싱 여부를 빠르게 식별하고 사전에 알려줄 수 있는 방안  * 아이폰이나 최신 안드로이드 폰에서 통화녹음이 제한되는 기술적 한계를 고려 * 포상금(등급) : 5천만원(A등급)5. 디자인 혹은 디지털 기술 등을 활용하여 운전자에게 소방차 전용구역 혹은 소화전 주변임을 인지시키거나 불법주정차를 효율적으로 방지할 수 있는 방안 * 운전자 친화적으로 소방차 전용구역, 소화전 주변임을 인지(안내 메세지) 시키거나 불법주정차를 방지(경고음)할수 있는 방안 등 * 포상금(등급) : 1천만원(C등급)6. 빅데이터 분석 또는 ICT 등 신기술 등을 접목한 농산촌 소각산불  유발 행위(예: 무단소각 등)를 효율적으로 예방할 수 있는 방안  * 포상금(등급) : 3천만원(B등급)7. 디지털 기술 등을 활용, 1인 여성가구의 주거지 주변 안전 위험(예:  전철역에서 집으로 가는길에 발생하는 스토킹, 성범죄 등) 요소를 개선하거나,  위험 요인에 대해 신속 대응할 수 있는 방안  * 위험 유형별(심리적‧실질적/개인적‧지역적 위험 등) 위험요소 개선방안 포함 * 포상금(등급) : 3천만원(B등급)8. 사회적 디자인 또는 디지털 기술 등을 활용하여 실외구역(도로, 거리, 광장)의  금연, 흡연 구역이 잘 지켜질 수 있도록 하는 방안 * 금연,흡연 구역을 효과적으로 구분하는 디자인 시안, 흡연자를 흡연구역으로 유도하여 금연구역에서 흡연을 방지하는 방안 등 * 포상금(등급) : 1천만원(C등급)9. 고령층의 디지털(키오스크, 스마트폰 등) 기반 생활 서비스 이용(예: 기차 예매, 주문, 서류 발급 등) 개선을 위한 디지털 정보 격차 해소 방안   * 포상금(등급) : 3천만원(B등급)▷  공모기간 : 2020년 6월 15(월) ~ 9월 15일(화) 18:00※ 9번(키오스크, 스마트폰 등 디지털 정보격차 해소) 과제의 경우, ‘디지털포용 추진계획’이 발표(과학기술정보통신부, 6월 말 예정) 된 이후 아이디어 접수가 개시될 예정(추후 공지 예정)▷ 제출 방법 - 아이디어(기술적 방안)　제안 작성 : 붙임의 양식 참조- 제출 방법： ‘광화문 1번가’ 누리집 내 ‘도전.한국’ 메뉴*에서 ①참가신청서, ②개인정보 활용 동의서,    ③아이디어(솔루션) 기획서 등 3건 제출    * 인터넷 주소창에 ‘도전.한국’ 입력 후 바로 공모전 페이지로 이동   - 참가 신청 전에 사전 등록 가능, 사전 등록하는 경우 등록   대상자에게는 관련 자료‧데이터 제공 및 과제 설명회 초청 예정▷ 포상금《 포상금 기준 》 A등급 과제B등급 과제C등급 과제최우수5천만원3천만원1천만원우수2.5천만원1.5천만원0.5천만원장려1.25천만원0.75천만원0.25천만원 ▷  문의- korea@nia.or.kr, ☎ 02-853-4323, 044-205-2220, 2213","['공모전', '봉사']"
2,3,K-water 2020년 대국민 환경 빅데이터 공모전,https://linkareer.com/activity/40963,k-water,8/31/2020,https://s3.ap-northeast-2.amazonaws.com/media.linkareer.com/activity_manager/content/2020-06-191749500427880_content.png,"2020년 K-water 대국민 환경 빅데이터 공모전▷ 담당자 전화번호 :042-629-3846▷공모주제  - 서비스 개발,융합데이터 발굴,2개 분야로 구분하여 시행   ※ (서비스 비즈니스)환경 빅데이터를 활용한 대국민 서비스·비즈니스 모델 기획 및 웹,앱 등 결과물 개발을 위한 개발방안   ※ (융합데이터)환경 매체간 및 他분야 취득가능한 데이터를 융합하여 새로운 정보·인사이트를 줄 수 있는 융합데이터 기획 및 결과물    * 데이터는 ‘환경 비즈니스 빅데이터 플랫폼(bigdata-environment.kr)’의 데이터를 활용하며,그 외 타 분야(금융,문화,교통,헬스케어,유통물류,통신,중소기업,지역경제,산림)플랫폼 데이터,공공데이터포털 등 활용 가능▷ 공모일정  - 최종 결과물 제출(~8.31)→ 1차 서면심사(~9.25)→ 2차 발표심사 및 시상(10월 중)   ※ 1차 서면심사 결과 상위과제를 발표심사 대상으로 선정,별도 발표자료 작성 요청 예정이며,발표심사는 ‘K-water사내 빅데이터 콘테스트’와 연계하여 시행▷ 자격요건  - 全 국민 (개인 또는 팀(5인 이내)형태로 참가)   ※ “서비스 비즈니스 모델개발”주제는 ‘대학생’과 ‘일반 및 기업’ 전형으로 구분하여 진행,‘대학생’은 학생증 사본을 제출해야 인정됨▷ 출품규격  - 결과보고서   ※ A4용지,문서여백 좌․우 20mm,위․아래․머리말․꼬리말 15mm   ※ 줄간격 160%,휴면명조,15pt로 작성   ※ 서술형으로 작성하며,총 10페이지 이내로 작성▷ 시상혜택  - 공모주제별 총 21팀 선정,시상상서비스 개발융합데이터 개발포상훈격대학생일반·기업상금(천원)과제수상금(천원)과제수상금(천원)과제수대상3,00013,00012,0001환경부장관상최우수상1,50011,50011,5001K-water시장상우수상1,00011,00011,0002장려상500350035005K-water시장상(서비스비즈니스개발)창업진흥원장상(융합데이터개발)합계7,00067,00068,0009-   ※ 시상계획은 진행과정 중 내부 상황에 따라 변경될 수 있음   ※ 수상작은 K-water물산업플랫폼센터 스타트업 지원프로그램과 연계하여 지원▷ 제출서류  - 결과보고서(참고 1제시)및 결과물* 1식   ※ (서 비 스)웹·앱 개발방안,화면정의서,서비스 시나리오 등(융합데이터)데이터셋(컬럼정의서,테이블정의서 포함)","['공모전', 'IT', '과학']"
3,4,기획재정부 국민참여예산 대학생 공모전,https://linkareer.com/activity/41187,기획재정부,8/31/2020,https://s3.ap-northeast-2.amazonaws.com/media.linkareer.com/activity_manager/content/2020-06-241415555280120_content.png,"[기획재정부] 국민참여예산 대학생 공모전 (~8/31)■ 신청기간2020년 6월 24일(수) ~ 8월 31일(월) 18:00※ 일반 사업제안은 공모전 기간과 관계없이 상시제안 가능■ 참가대상대학생, 대학원생 및 휴학생■ 접수방법사업제안 공모요강 및 우수제안 예시 : 파일 다운로드접수(제출) 방법 : [사업제안] - [대학생 공모전] 메뉴에서 직접 작성 · 제출< 유의사항 >▶ 공모 대상 아이디어는 타인이 취득한 특허권·실용신안권·디자인권·저작권 등 지적재산권을 침해하지 않아야 하며, 침해가 적발된 때에는 그 시상을 취소하고 그에 따른 이익을 환수할 수 있음.▶ 시상 전 정책적 활용을 위해 사용권 보장 등을 포함한 별도계약을 체결할 수 있으며, 이에 동의하지 않을 경우 시상대상에서 제외될 수 있음.■ 진행절차※ 상기일정은 사정에 따라 변경될 수 있음공모전에서 제안된 사업은 공모전 심사와 더불어 일반 사업제안으로 간주, 부처 적격성 판정을 통과한 사업의 경우 ‘22년 예산 사업 후보 논의에 포함될 예정** 공모전에서 제안된 사업을 포함한 모든 일반 사업제안에 대한 자세한 절차는 국민참여예산 홈페이지 ‘제도소개’ 메뉴 참고■ 심사기준서면심사- 기존 사업제안 양식 제출- 아이디어의 참신성 위주*로 본선진출 팀 선정  * 서면심사 단계에서는 분량, 전문성, 구체성보다는 아이디어 자체에 대한 평가를 통해 본선진출 팀 선정 예정(붙임의 우수제안 예시 참고)본선심사- 서면심사시 제출한 아이디어에 대한 구체적 실현 방안 등에 대한 평가- PPT발표, 영상 등의 자유 컨텐츠로 오프라인 본선심사 진행시상내용 : 총 24팀, 상금 총 1,050만원- 최우수상(1팀) : 부총리표창, 상금 200만원- 우수상(3팀) : 상금 100만원- 장려상(5팀) : 상금 50만원- 특별상(15팀) : 상금 20만원※ 우수 제안(포상 대상)이 없을 경우 시상하지 않을 수 있음※ 상금은 세전 금액으로 세금 공제 후 지급됩니다.■ 문의처기획재정부 참여예산과 : (전화번호) 044-215-5487, (E-mail : haeinlee917@korea.kr)■ 자세히 보기https://www.mybudget.go.kr/bsnsPropse/collegianBsnsPropseIntro","['공모전', '사회']"
4,5,문학동네 2020 제26회 문학동네 소설상 공모,https://linkareer.com/activity/31111,문학동네,8/30/2020,,"2020 제26회 문학동네 소설상 공모▷ 응모마감 : 2020년 8월 30일 (마감일 소인까지 접수합니다.)▷ 응모자격 : 제한 없음▷ 원고분량 : 200자 원고지 기준 500매 이상 (500자 내외의 시놉시스 첨부) ▷ 상금 : 5,000만원▷ 응모요령- 우편으로만 접수받습니다.- 원고는 가급적 A4용지에 출력해주십시오.- 겉봉에 문학동네소설상 응모작임을 명기해주십시오.- 응모작은 반환하지 않습니다. ",['공모전']
5,6,Korea Mobile Fest 슬기로운 방구석 생활 영상 공모전,https://linkareer.com/activity/38175,Korea Mobile Fest,8/31/2020,,"방구석 모바일 페스트 - 디캠프: 슬기로운 방구석 생활!● 응모 주제​' 전국의 집순이, 집돌이들에게는 과거에도, 오늘도, 그리고 내일도 방구석은 최고의 놀이터다.'혼자 혹은 다른 사람과 함께 방구석을 최고의 놀이터로 만드는 나만의 방법!✔️예시- 나는 집에서 이런것도 할 수있다!- 나는 집에서 OO가 필요할때 OO를 이용한다!- 집에서 혼자 재미있게 이렇게 놀 수 있다!※ 예시는 예시일뿐, 여러분들의 다양한 슬기로운 방구석 생활을 보여주세요!● 응모 자격- 만 13세 이상 내국인, 국내외 거주 외국인, 연령∙성별 불문 누구나- 개인 또는 팀 참가 가능● 시상 내역- 총상금 : 1천만원- 1등 : 500만원- 2등 : 300만원- 3등 : 200만원※ 해당 공모전의 입상자들은 KMF2020 어워즈의 연간 누적상금을 수상하게 되는 후보로 자동 등록됩니다. ※ 한 번의 지원으로 두 번의 수상 영예와 상금을 탈 수 있는 KMF2020 어워즈의 시작 누적상금은 2천2백만원 입니다.※ KMF 어워즈의 누적상금제란? : koreamobilefest.com/ko/● 응모 일정- 접수기간 : 2020.04.21 (화) ~ 2020.08.31 (월) 23:59분- 결과발표 : 2020.09.21 (월)● 출품 규격- 제작형식 : 영상의 일부 혹은 전체 '모바일 디바이스'를 이용한 촬영 필수- 분량 : 60초 (최대 90초까지 가능하나 심사 시 불이익을 받을 수 있습니다)- 해상도 : HD 또는 FHD (1920*1080 권장, 1280*720 제출 가능)- 파일크기 : 최대 300MB- 파일포맷 : mp4 권장 (avi, mov, mpeg, wmv : 문제 발생 시 재업로드 필수)※ 자세한 내용은 홈페이지 참조● 접수 방법- 온라인 지원 : aroundus.com ('구인구직' > 공모전 게시글 하단 '지원하기')​● 심사 방법- 1차 심사 : 영상 전공 학생 또는 전문가로 구성된 예비 심사단 심사- 2차 심사 : 주관사 및 영상 전문가 심사● 유의 사항- 홈페이지 및 지원 페이지 참조● 문의 사항- 문의처 : 코리아 모바일 페스트 (KMF) 사이트 > 문의 페이지","['공모전', '경영', '경영']"
6,7,대한두통학회 두통 이야기 공모,https://linkareer.com/activity/38465,대한두통학회,9/30/2020,,"
대한두통학회가 ‘두통없는 행복한 세상’ 홈페이지
모바일 버전 오픈을 기념하여 제2회 두통 이야기 공모전을 개최합니다.
공모전에 대한 자세한 사항은 아래에서 확인하실 수 있으며, 많은 관심과 참여 부탁 드립니다.
 
• 분야: 에세이, 그림, 웹툰, 사진, 영상
• 기간: 2020월 05월 11일 ~ 09월 30일
 
• 주제: 
1) 적극적인 두통 치료의 중요성
2) 두통 치료 중 가장 고통스러웠던 경험(신체적, 심리적, 경제적)
3) 두통 진단까지의 과정에서 힘들었던 경험
 
• 대상: 
1) 두통을 경험한 환자
2) 두통 환자를 지켜본 가족 또는 지인
 
• 형식
1) 에세이: A4, 3000자 이내
2) 그림: 8절(디자인
프로그램 이용 가능)
3) 사진: 비율: 4:6 또는 6:4/ 형식: JPG/ 해상도:
1,000만 화소 이상/ 용량: 20MB 이내
4) 웹툰: 10컷 이상의 완결 단편작/ 크기: 가로 720pixel 이하/ 형식: JPG
5) 영상: 분량- 3분
이내 / 크기 1280X720/ 확장자- mpeg, wmv, mp4
* 추후 수상자는 고화질 영상 파일(1920X1080 이상) 제출 필요
 
• 제출 방법: 분야별 참가신청서는 아래 첨부파일에서 내려받기
가능
1) 에세이, 그림: 참가신청서
작품과 함께 이메일 또는 우편 제출
2) 사진, 웹툰, 영상: 참가신청서, 작품과 함께 이메일 제출
 
• 접수 방법:
작품과 함께 참가신청서를
작성하여 E-mail 또는 우편 접수
- E-mail: headache-free@enzaim.co.kr
- 우편: 서울특별시 종로구 종로
51 종로타워 20층 엔자임헬스(대한두통학회
수기 공모전 사무국)
- 참가 신청서: 
두통없는 행복한 세상(http://headache_m.one-page.co.kr/)에서 내려받기 가능
 
• 심사 기준: 적합성, 진정성, 활용성
• 수상자 발표:
2020년 10월 중(본 사이트 내 공고 및
수상자 개별 통보 예정)
• 이벤트: 형식에 부합하는 작품을 제출한 응모자 중 100명을 추첨해 스타벅스 아메리카노 기프티콘을 드립니다.
 
• 문의: 대한두통학회
수기 공모전 사무국(02-318-8673)
 
• 공모전 유의 사항
[일반 주의 사항]
- 복수 작품 응모는 최대 3개까지 가능합니다. 단, 동일인(팀)에 대한 중복시상은 하지 않습니다
- 주관학회는 수상작에 한하여 원본 제출을 요구할 수 있습니다.
- 일부 수상자에 한해 언론 인터뷰를 진행할 수 있습니다. 이는 사전
동의 하에 진행될 예정입니다.
- 주관학회는 응모작에 대한 유출방지 및 비밀유지 등 주의의무를 다합니다.
- 주관학회는 입상하지 않은 응모작을 공모전 종료일로부터 3개월 이내에
모두 폐기합니다. 응모자가 반환을 요구할 경우 30일 이내
반환하고, 반환을 위한 비용은 반환을 요구한 응모자가 부담합니다.
 
[저작권/사용 관련 주의 사항]
- 응모된 작품에 대한 저작권은 응모자에게 있습니다.
- 응모자는 타인의 저작재산권, 초상권, 상표권을 침해하지 않는 작품을 제출해야 합니다. 추후 입상작이 초상권
및 저작권을 침해한 사실이 밝혀질 경우, 수상을 취소하고 상금을 반환하여야 하며 해당 응모자는 법적인
책임을 다해야 합니다.
- 주관학회는 수상작에 한하여 다음과 같은 범위에 한해 활용할 예정입니다. 활용
과정에서 수상작은 일부 수정될 수 있습니다. 
※ 활용 범위: 두통없는 행복한 세상 홈페이지 및 SNS 채널 통한 수상작 전시
및 발표, 대한두통학회 캠페인 언론 홍보, 수상작 모음집
제작 등
 
","['공모전', '과학', '경영']"
7,8,식품의약품안전처 2020 나트륨·당류줄이기UCC공모전,https://linkareer.com/activity/38875,식품의약품안전처,8/31/2020,,"2020 나트륨·당류 줄이기 UCC 공모전● 응모 자격- 전 국민 누구나(개인 혹은 팀)​● 응모 주제- 실생활 속 나트륨 당류 줄이기 건강 식생활 실천​● 응모 일정2020년 5월 15일(금) ~ 2020년 8월 31일(월)● 접수 방법- 개인 유튜브 업로드 후 홈페이지에서 신청서 작성(na2020.co.kr)※ 개인 유튜브 업로드: 설정(공개, 퍼가기 허용) 및 하단 해시태그 필수#식품의약품안전처 #식약처 #나트륨당류줄이기UCC공모전​● 출품 규격- 순수 창작 60초 홍보영상 콘텐츠 (전후 5초이내 허용)* 2차 심사 선정 시 원본 파일 제출예정 1280*720 이상 (HD해상도) / 100MB이하 / 용량준수 파일명: [나트륨·당류줄이기 UCC 공모전] 이름(팀명)_영상제목 ex) [나트륨·당류줄이기 UCC 공모전] 홍길동_나트륨 당류 줄이자● 시상 내역- 각 분야별​* ​최우수상 (1인 또는 1팀): 식약처장상 및 상금 200만원* 우수상 (2인 또는 2팀): 식약처장상 및 상금 50만원​* ​장려상 (3인 또는 3팀): 식약처장상​ 및 상금 30만원● 심사 방법- ​1차 심사: 전문가 평가- 2차 심사: 전문가 평가(70%) + 대국민 온라인 심사(30%)​​​*대국민 심사: 20. 9. 7(월) ~ 9.13(일) 예정● 유의 사항1. 공모전의 규정을 준하여야 합니다. 규정을 준수하지 않았을 시 모든 책임은 참가자에게 있습니다.2. 출품작은 접수기간 내 본인이 직접 창작한 콘텐츠이어야 합니다.3. 수상 작품 수는 참가현황 및 심사 결과에 따라 조정될 수 있습니다.4. 접수기간 및 결과발표일은 당사의 사정에 따라 조정될 수 있습니다.5. 각 팀(개인)별로 수상은 하나만 인정됩니다.(중복 수상 불가)6. 수상자 발표 후 표절로 확인될 경우 수상 취소 및 상금이 회수 될 수 있습니다.7. 수상작은 식약처에서 운영하는 오프라인 홍보, 온라인 홍보(유튜브(마이나슈 TV), SNS(인스타그램, 페이스북, 블로그 등에 활용)에 활용 될 수 있습니다​.● 문의 사항공모전 운영사무국 02-3456-2880",['공모전']
8,9,브이로그(V-log) in 포천(Pocheon) 마케팅 공모전,https://linkareer.com/activity/34331,포천시청,12/18/2020,https://s3.ap-northeast-2.amazonaws.com/media.linkareer.com/activity_manager/content/2020-02-281716566436610_content.png,"브이로그(V-log) in 포천(Pocheon) 홍보▷ 응모 기간 :  2020.02.17(월) ~ 2020.12.18(금) 18:00 까지▷ 응모 대상 : 국민 누구나 ‘1일 홍보대사’ 가능(제한없음)▷ 참여방법  - 사업장을 홍보하는 브이로그(V-log)를 7편 제작 및 공유  - 영상 콘텐츠가 7편이 되면 포천시청 홈페이지에서 참여신청서를 작성하여,   - 저용량(300M 이하)으로 변환된 영상 파일과 함께 이메일 제출(sansoj@korea.kr)      ※ 메일과 파일 제목은 “브이로그_참여자 이름”으로 기재(예시: 브이로그_홍길동)▷  제작방법  - 1편당 5~7분, 총 7편 제작  - 해시태그(#) 필수 표시: #포천, #포천시, #사업장명, #관광, #체험  - 촬영 장소가 ‘포천 사업장’임을 확인할 수 있도록 제작▷ 공유방법  - 개인 유튜브, 네이버TV, 블로그, 인스타그램, 페이스북 등 공개된 매체에 공유▷ 활동혜택  - 제작방법과 공유방법 충족 시 활동비 1편당 3만원 지원     ※ 5만원은 포천사랑상품권으로 지급    ※ 지원금에 대한 소득세는 참여자 부담▷ 담당자 전화번호 : 031-538-3063","['공모전', '사회', '경영']"
9,10,금융감독원 제15회 금융공모전,https://linkareer.com/activity/41264,금융감독원,9/25/2020,https://s3.ap-northeast-2.amazonaws.com/media.linkareer.com/activity_manager/content/2020-06-251257469570550_content.png,"제15회 금융공모전▷  담당자 전화번호 : 031-3145-5959▷ 공모주제   - 대학생 금융콘테스트   ※ 금융교육   ※ 금융소비자보호   ※ 금융관행 개선   ※ 금융신상품 등에 대한 아이디어  - 성인 금융콘테스트   ※ 체험수기: 금융거래 또는 금융회사 이용과 관련된 체험   ※ PPT·UCC·웹툰: 금융뉴스, 금융상품 등에 대해 알기 쉬운 설명자료  - 금융교육 우수프로그램 : 금융교육 실시 콘텐츠 등 교육 프로그램▷  공모일정 : 2020-06-22(월) ~ 2020-09-25(금)▷  자격요건  - 대학생 금융콘테스트 : 대학생으로 구성된 팀 (5인 이내)  - 성인 금융콘테스트 : 성인('01.12.31. 이전 출생)  - 금융교육 우수프로그램   ※ 금융교육 실시기관*(금융유관기관, 금융회사 등)   ※ 사회공헌 활동의 일환으로 금융교육을 실시하는 기관 및 단체로서, 영리 목적의 프로그램 판매업체는 제외▷ 출품규격  - 대학생 금융콘테스트   ※ PPT(20페이지 이내)   ※ UCC(10분 이내)   ※ 문서(A4 10매 이내)   ※ 웹툰(해상도 300dpi 이상, 가로 690픽셀, 세로 제한 없음, 스크롤뷰, JPG로 제출하고 수상작은 추후 원본파일 제출)  -성인 금융콘테스트   ※ 체험수기: A4용지 10매 이내   ※ PPT: 20페이지 이내   ※ UCC: 동영상파일(10분 이내)   ※ 웹툰: 해상도 300dpi 이상, 가로 690픽셀, 세로 제한 없음, 스크롤뷰 (※JPG로 제출하고 수상작은 추후 원본파일 제출)  - 금융교육 우수프로그램   ※ 교재: 금융교육용 책자, 보드게임 등 실물 교재   ※ 강의안: 금융교육 PPT(Power Point), 텍스트 파일 등   ※ 멀티미디어: 애니메이션, 이러닝(e-learning), 동영상 등   ※ 체험프로그램 : 금융박물관, 금융교육 체험장, 뮤지컬 등 운영하고 있는 체험프로그램에 대한 소개자료*(A4용지 10매 이내 또는 PPT 20장 이내)   ※ 프로그램, 교육장면을 소개하는 팜플렛 또는 동영상이 있는 경우 함께 제출▷  지원방법  - 대학생 금융콘테스트   ※ PPT/UCC: [학교,팀명,번호,제목]의 형태로 파일제목을 작성하여 금융교육 이메일(education@fss.or.kr)로 제출   ※ 문서/웹툰: 온라인 신청시 첨부하여 제출  -성인 금융콘테스트   ※ 체험수기 / PPT·웹툰: 온라인 신청시 첨부하여 제출   ※ UCC: [이름,접수번호,제목]의 형태로 파일 제목을 작성하여 금융교육 이메일(education@fss.or.kr)로 제출  - 금융교육 우수프로그램   ※ 교재: 실물교재(책자, 보드게임 등)를 우편*으로 제출   ※ 수신처 : 서울특별시 영등포구 여의대로 38 금융감독원 금융교육국 공모전 담당자 앞(우편번호 07321)   ※ 강의안: [기관명, 번호, 제목]의 형태로 파일제목을 작성하여 금융교육 이메일(education@fss.or.kr)로 제출   ※ 멀티미디어: [기관명, 번호, 제목]의 형태로 애니메이션, 이러닝, 동영상 등의 파일제목을 작성하여 금융교육 이메일(education@fss.or.kr)로 제출   ※ 플래시 파일의 경우 동영상파일(avi, mp4 등)로 변환하여 제출하되, 파일 대신 CD로도 제출가능(단, 우편으로 접수)   ※ 체험프로그램: [기관명, 번호, 제목]의 형태로 프로그램 소개 자료 파일제목을 작성하여 금융교육 이메일(education@fss.or.kr)로 제출   ※ 체험프로그램의 경우 필요시 심사위원이 체험장소(박물관 등)를 직접 방문하여 심사 예정","['공모전', '경영', '경영']"
