id,title,link,image,description
1,서울권 운동(스포츠) 연합 커뮤니티 STREET BOND   ,https://www.koreapas.com/bbs/view.php?id=circle&page=1&sn1=&divpage=3&sn=off&ss=on&sc=on&select_arrange=headnum&desc=asc&no=14395,['https://img.koreapas.com/i/d5e4e89/resize'],"📌 STREET BOND 소개
운동은 하고 싶은데, 몇 달 회비 끊고 하자니, 돈이 아깝고..
그렇다고 혼자 운동하는 건 재미 없지 않나요?

‘STREET BOND’는 우리 동네의 다양한 운동(스포츠)을 즐기는 커뮤니티입니다.
1) 하루 비용만 내고 운동을 즐길 수 있습니다!
2) 센터 중심이 아닌, 다양한 호스트들의 개성 넘치는 운동(스포츠) 프로그램을 즐길 수 있습니다.
3) 모임원들과 함께 운동하고 소통할 수 있습니다.
(강제 모임, 강제 뒷풀이 전혀 없습니다! 원하시는 모임만 참여하세요!)

이제는 운동에 나를 맞추지 말고,
내가 원하는 시간, 원하는 장소를 나에게 맞추고, 다양한 운동을 즐기세요.

📌 대상
성별, 직업, 종교 등 상관 X
(*단 운영에 불편을 주시는 분들은 참여자 또는 호스트에 의해 강퇴될 수 있습니다.)

📌 활동 내용
▷ CLUB : 새로운 운동(스포츠)도 가볍게 체험해보고 즐기는 모임
- 자신에게 맞는 운동을 찾을 수 있습니다!
▷ PROJECT(추후 오픈) : 공통의 목표를 가진 멤버들이 해당 분야의 HOST와 함께, 관련 지식과 경험을 쌓도록 지원하는 프로그램
- 나에게 맞는 운동을 좀 더 전문적으로 배울 수 있습니다!
▷ 활동권 : 동대문구, 성동구, 광진구(건대 주변), 강남구 등..
▷ 활동 종류 : 유도, 발레, 댄스, 등산(추가 예정) (*참고 : https://www.instagram.com/street___bond/)
*재능을 공유하세요! 오셔서 새로운 활동 호스트를 하셔도 됩니다! (신청 문의 - kakao id : bigmt93)

📌 가입 문의 및 신청
가입 양식을 작성해서 (kakao id : bigmt93)으로 보내주세요!

1. 성명(실명) :
2. 거주 지역 : (**구, **동)
3. 직업 : (ex. 학생, 직장인, 등)
4. 성별 :
5. 나이 :
6. 가입 경로 : (ex. 인스타, 소모임, 에브리타임 x대 등)
7. 운동 관심 분야 : (앞으로 콘텐츠 영입에 반영합니다!)
8. 운동 경력 : (ex. 복싱 1년, 러닝 주 1회 1년)

☜ ‘STREET BOND’ 단톡방은 모임 1회 이상 참석하신 분들만 초대 됩니다.(No Show 예방)

#운동 # 러닝 #등산 #유도 #요가 #발레 #댄스 #동아리출처 : 고려대학교 고파스 2020-07-22 20:08:07:"
2,안녕하세요 한일문화연구회에서 함께할 동아리원을 모집합니다   ,https://www.koreapas.com/bbs/view.php?id=circle&page=1&sn1=&divpage=3&sn=off&ss=on&sc=on&select_arrange=headnum&desc=asc&no=14394,['https://img.koreapas.com/i/d3e4ae1/resize'],"일본문화에 관심이 있으신가요? 심심한데 마땅한 동아리가 없으신가요? 중앙동아리 한일문화연구회로 어서오세요~
한일문화연구회는 무겁지 않고 즐거운 분위기를 지향하며, 가볍고 부담없이 동아리 활동을 하실 수 있습니다.
자율 참여로, 어학반, 일본 학생들과의 교류 등 다양하고 유익한 활동들을 자유롭게  할 수 있습니다!
게임기와 만화가 벽을 가득 채운 동아리방에서  언제든지 오셔서 함께 노실 수 있습니다.
첫 학기는 가입비 무료이기 때문에, 더욱 부담없게 가입하실 수 있습니다!
동아리를 어디 들지 고민되신다면, 부담없이 자유롭게 유익한 활동을 하실 수 있는 한일문화연구회에서 활동해 보시는 것은 어떨까요?
한일연 회원들은 여러분을 두 팔 벌려 환영합니다 ^^  학생회관 303호로 오세요~
* 코로나19로 인해 활동 내용이 제한될 수 있습니다

문의
회    장 조홍균 010-9757-1109
부회장 김민주 010-6310-8752출처 : 고려대학교 고파스 2020-07-22 20:08:07:"
3,2020학년도 2학기 KUISA 14기 벗 모집이 하루 남았습니다!!!!!! ,https://www.koreapas.com/bbs/view.php?id=circle&page=1&sn1=&divpage=3&sn=off&ss=on&sc=on&select_arrange=headnum&desc=asc&no=14393,['https://img.koreapas.com/i/2b9355e/resize'],"👉2020년도 2학기 KUISA 14기 벗 모집 안내👈

KUISA란, Korea University International Student Assistant의 약자로 외국인 및 재외국민 정규학생의 학업 및 생활전반에 도움을 주는 국제처 글로벌 서비스센터 산하 자원봉사단체입니다.

[벗]은 외국인 및 재외국민 정규학생들에게 도움을 줄 수 있는 고려대 학생을 뜻하고,
[버디]는 고려대 학생들에게 도움을 받는 외국인 및 재외국민 정규학생을 뜻합니다.
KUISA에서 벗과 버디는 서로의 학업 및 생활전반에 도움을 주거나 다양한 공식행사, 소모임, 언어문화교류 등을 통해 서로의 언어와 문화를 공유하며 친목을 도모할 뿐 아니라, 함께 성장할 수 있는 기회를 가집니다.

KUISA 14기와 함께 할 벗을 모집합니다.

1. 모집대상 - 한국어로 의사소통이 가능한 고려대학교 학생 (20학번 지원 불가)
2. 모집일정
가. 지원서접수 : 7월18일~ 7월 23일(목) 23:59까지
나. 면접대상자 발표 : 7월 25일
다. 면접일정 : 7월 27일~30일 오전 10시 - 오후 6시
라. 화상면접일정 : 7월 31일
마. 합격자 발표 :  7월 31일 합격자, 불합격자 개별 문자 통보
바. 추가합격자 발표 : 결원이 생길 시 추후 안내 예정
사. 합격자 OT는  8월 1일 (토)
3. 지원방법: 상단의 QR코드 혹은 프로필 링크의 공지를 통해서 구글 폼 작성 및 제출 * 반드시 구글 계정으로 로그인 후 작성해주셔야 합니다.

4. 활동기간 : 여름방학 ~ 2020년 2학기

5. 활동내용 - 조별활동
- 수강신청 및 학생증 발급 등
- 학업관련 도움
- 소모임 활동
- 언어문화교류 활동
- 소규모 조별활동

6. 수료혜택

가. 교환학생 지원 시 가산점 부여 (2학기 이상 수료 시)
나. 국제처 명의의 KUISA 인증서 발급 및 봉사시간 부여
다. 각종 행사 시 학교의 행정적 지원 * 활동이 불성실한 경우 수료가 불가함을 알려드립니다.

7. 문의사항 :
* 각종 KUISA 활동 및 홍보 자료는 네이버 카페와 페이스북 페이지와 인스타그램에서 확인 가능합니다.
- 페이스북 : KUISA-Korea University International Student Assistant
- 인스타그램 : ku_kuisa
- 네이버 카페: https://cafe.naver.com/kuisarecruit/7192출처 : 고려대학교 고파스 2020-07-22 20:08:08:"
4,1분 명상법~!  ,https://www.koreapas.com/bbs/view.php?id=circle&page=1&sn1=&divpage=3&sn=off&ss=on&sc=on&select_arrange=headnum&desc=asc&no=14392,"['https://img.koreapas.com/i/484c9e2/resize', 'https://img.koreapas.com/i/7711ac9/resize', 'https://img.koreapas.com/i/a5c6724/resize', 'https://img.koreapas.com/i/c88016e/resize', 'https://img.koreapas.com/i/725c03f/resize', 'https://img.koreapas.com/i/3250f13/resize', 'https://img.koreapas.com/i/1914727/resize', 'https://img.koreapas.com/i/d463966/resize', 'https://img.koreapas.com/i/f64bd60/resize', 'https://img.koreapas.com/i/c56fd5c/resize', 'https://img.koreapas.com/i/9916184/resize']","안녕하세요! 원불교 학생회입니다. ㅎㅎ
이번에는 명상을 어떻게 하는 지에 대한 카드뉴스입니다.
요새 비대면 수업이라서 집에만 계시는데,
집에서도 쉽게 하실 수 있는 방법이니, 한 번 따라해 보세요 ㅎㅎ

매주 화요일 오후 6시, 동아리방에서 요가 명상을 진행하고 있습니다.
몸과 마음을 쉬어가고 싶으신 분들, 찾아오세요 ㅎㅎ
(1학기는 종강했습니다! 방학 끝나고 2학기에 뵙겠습니다 ㅎㅎ)


매주 수요일 오후 7시, 안암교당에서 수요공부방을 진행하고 있습니다.
원불교에 대해서 궁금한 것이 있으신 분들, 더 나은 삶을 살고 싶은 분들
물음을 던지시러 찾아오세요 ㅎㅎ


매주 토요일 오후 4시, 안암교당에서 법회를 진행하고 있습니다.
어떻게 하면 잘 살 수 있는지 궁금하신 분들, 인간 관계에 고민 있는 분들
해답을 구하시러 찾아오세요 ㅎㅎ


코로나19가 완전히 종식되지 않았으니,
오실 분들은 마스크 꼭 껴주셨으면 고맙겠습니다.

이외 더 자세한 사항은 현 고원회 회장(010 8895 4100)로 전화주시거나,
학생회관 2층 208호 동아리방으로 찾아오시면 알 수 있습니다.


궁금하신 분들의 적극적 참여, 기대하겠습니다!
댓글 또는 오픈카톡으로 궁금한 사항이 있으시다면 달아주세요!
https://open.kakao.com/o/sB58rfec출처 : 고려대학교 고파스 2020-07-22 20:08:08:"
5,연합발표토론동아리 POP 22기 모집합니다 ! ,https://www.koreapas.com/bbs/view.php?id=circle&page=1&sn1=&divpage=3&sn=off&ss=on&sc=on&select_arrange=headnum&desc=asc&no=14391,"['https://img.koreapas.com/i/607084d/resize', 'https://img.koreapas.com/i/8448cce/resize']","[22기 P.O.P 단원 모집!]

📢 스펙업 대표동아리 Top30
📢 유니브 엑스포 최우수 동아리

(1) 체계적인 커리큘럼
발표, 토론, 1분 스피치, 발표 세미나 등 말의 힘을 키울 수 있는 포괄적인 환경뿐만 아니라~

(2) 튼튼한 피드백 시스템
대면 -> 서면 -> 셀프 피드백까지!! 항목별로 나누어 총 3번의 피드백!! 그리고 피드백을 바탕으로 한 운영진과 OB와의 개별 멘토링까지!!

(3) 끈끈한 친목 도모
더불어 친목조와 부서별 소풍, 각종 행사, 매달 있는 번개, 마니또까지!!~연합세션과 다양한 발표 및 토론 공모전 출전의 기회까지!! 이 모든 것을 여러분들과 함께하고자 합니다!👐

👉 지원 하러가기>> https://cafe.naver.com/allforpop/17544
👉 공식 인스타그램>> https://www.instagram.com/power_of_presentation/
👉 공식 홈페이지>> https://allforpop.netlify.app
👉 공식 카페>> https://cafe.naver.com/allforpop출처 : 고려대학교 고파스 2020-07-22 20:08:08:"
6,🔥D-2!!!! 쿠이사 2020-2 벗 모집🔥 ,https://www.koreapas.com/bbs/view.php?id=circle&page=1&sn1=&divpage=3&sn=off&ss=on&sc=on&select_arrange=headnum&desc=asc&no=14390,"['https://img.koreapas.com/i/1606ae5/resize', 'https://img.koreapas.com/i/36a42f3/resize']","👉2020년도 2학기 KUISA 14기 벗 모집 안내👈

KUISA란, Korea University International Student Assistant의 약자로 외국인 및 재외국민 정규학생의 학업 및 생활전반에 도움을 주는 국제처 글로벌 서비스센터 산하 자원봉사단체입니다. 

[벗]은 외국인 및 재외국민 정규학생들에게 도움을 줄 수 있는 고려대 학생을 뜻하고,
[버디]는 고려대 학생들에게 도움을 받는 외국인 및 재외국민 정규학생을 뜻합니다. 
KUISA에서 벗과 버디는 서로의 학업 및 생활전반에 도움을 주거나 다양한 공식행사, 소모임, 언어문화교류 등을 통해 서로의 언어와 문화를 공유하며 친목을 도모할 뿐 아니라, 함께 성장할 수 있는 기회를 가집니다.

KUISA 14기와 함께 할 벗을 모집합니다.

1. 모집대상 - 한국어로 의사소통이 가능한 고려대학교 학생 (20학번 지원 불가)
2. 모집일정
가. 지원서접수 : 7월18일~ 7월 23일(목) 23:59까지
나. 면접대상자 발표 : 7월 25일
다. 면접일정 : 7월 27일~30일 오전 10시 - 오후 6시
라. 화상면접일정 : 7월 31일
마. 합격자 발표 :  7월 31일 합격자, 불합격자 개별 문자 통보
바. 추가합격자 발표 : 결원이 생길 시 추후 안내 예정
사. 합격자 OT는  8월 1일 (토)
3. 지원방법: 상단의 QR코드 혹은 프로필 링크의 공지를 통해서 구글 폼 작성 및 제출 * 반드시 구글 계정으로 로그인 후 작성해주셔야 합니다.

4. 활동기간 : 여름방학 ~ 2020년 2학기

5. 활동내용 - 조별활동
- 수강신청 및 학생증 발급 등
- 학업관련 도움
- 소모임 활동
- 언어문화교류 활동
- 소규모 조별활동

6. 수료혜택

가. 교환학생 지원 시 가산점 부여 (2학기 이상 수료 시)
나. 국제처 명의의 KUISA 인증서 발급 및 봉사시간 부여
다. 각종 행사 시 학교의 행정적 지원 * 활동이 불성실한 경우 수료가 불가함을 알려드립니다.

7. 문의사항 : 
* 각종 KUISA 활동 및 홍보 자료는 네이버 카페와 페이스북 페이지와 인스타그램에서 확인 가능합니다.
- 페이스북 : KUISA-Korea University International Student Assistant
- 인스타그램 : ku_kuisa
- 네이버 카페: https://cafe.naver.com/kuisarecruit/7192
출처 : 고려대학교 고파스 2020-07-22 20:08:08:"
7,⭐경영대학 글로벌 홍보대사 쿱스버디 21기를 모집합니다,https://www.koreapas.com/bbs/view.php?id=circle&page=1&sn1=&divpage=3&sn=off&ss=on&sc=on&select_arrange=headnum&desc=asc&no=14389,[],"🧒🏻경영대학 글로벌 홍보대사 KUBS BUDDY 21기 모집👦🏻

무려 33개국 121개 해외대학에서 교환학생으로 파견되어 오는 학생들과 활동할 수 있는 기회가 있다구요?!

네 바로 경영대학 글로벌 홍보대사 KUBS BUDDY가 된다면 말이죠!!

외국인 버디들과 이야기하고 싶다,
외국인 버디들을 도와주고 싶다,
다양한 친구들을 만나보고 싶다,
열정적으로 서울 탐방에 나서고 싶다 등의 생각을 가지신 분들이라면 우리 KUBS BUDDY에서 같이 활동해요❤


✔1. KUBS BUDDY?
1) 취지:
- 경영대학 재학생들의 모임으로 경영대학 교환학생 Support
- 외국인 교환학생들에게 지속적인 지원 및 홍보를 함으로써 고려대학교 경영대학을 세계 명문대학으로 위상을 높이고자 함
2) 연혁: 2010년에 처음으로 1기가 모집되었으며, 현재 2020년 1학기에 활동 예정인 20기를 모집 중
3) 구성:
- Executive (쿱스버디 운영)
   고대 과잠, 북 렌탈, 회의 날짜 투표 및 대관
- Press (액티비티 미디어 기획)
   포스터 및 카드뉴스 제작, 사진 촬영, 인스타그램 관리
- Program (쿱스버디 정규 액티비티 기획)
   정규 액티 기획 및 피드백 수합
4) 활동기간: 1년 (2학기 연속 활동. 단, 군휴학, 교환학생으로 인한 공백은 인정)
5) 회의: 각 액티가 끝나고 정규 액티에 대한 디브리핑 형식으로 진행 (의무 참석)
6) 액티비티: 3회 이상 필참

✔2. 지원자격
- 경영대학 재학생이라면 누구나 지원 가능 (이중/복전 포함)
- 높은 책임감과 성실함의 소유자 (영어를 잘 하지 못하더라도 자신감을 가지고 외국인 학생들에게 다가가는 친화력이 있는 지원자 환영)
- 영어 회화 중급이상 환영
- 제2외국어 (중국어 등) 가능한 자 환영
- 사진 촬영 및 편집 소프트웨어 (Photoshop, Moviemaker등) 활용도 뛰어난 자 환영
- 고학번 환영
- 1학년 2학기 이상 재학생 모집 (신입생 지원 불가, 1학년 2학기 재학생부터 지원 가능)

✔3. 활동내역
- 교환학생 관련 행사 협조 (교환학생 오리엔테이션 기획 및 홍보 메시지 제작, Monthly Activity 등 준비)
- 경영대학 교환학생들의 대학 생활 안착 유도 (한국 학생 한 명당 외국인 버디 약 3명, 희망하는 국가로 버디 우선 배정)
- 매 학기 최소 4회의 정규 액티비티를 진행함으로써 교환학생들과 유대감 증진
- KUBS BUDDY 온라인 홍보

✔4. 모집기간 및 방법
- 지원서 (서류심사 대상) 제출 기간: 7/20(월) – 7/26(일) 정오
* 지원서 링크: https://forms.gle/Bs3k74TtGf3wMd3r7
- 모집인원: 00명
- 선발방법:
서류접수: 7/20(월) – 7/26(일) 정오
1차 합격 발표: 7/28(수) (정확한 면접 날짜와 시간은 합격통지와 동시에 개별통보)
2차 면접: 7/30(목) - 8/1(토) (면접시간 오전/오후 선택가능)
최종 합격발표: 8/3(월)

✔5. 선발자 특전 (단, 1년간 임무를 충실히 마쳐야 함)
- 학생활동 확인서 발급 (교환학생, 국제인턴쉽 지원 시 가산점 부여)
- 봉사활동 확인서 발급

✔6. 문의사항
회장 유승연 010-2570-6671
부회장 조현진 010-2168-6627
경영대 국제실 02-3290-1387
kubsbuddy21@gmail.com
KUBS BUDDY Instagram: https://instagram.com/kubs_buddy?igshid=cnemwbxydv79
KUBS BUDDY Facebook: http://www.facebook.com/Kubsbuddyofficial/

많은 지원 부탁드립니다💕출처 : 고려대학교 고파스 2020-07-22 20:08:08:"
8,2020-2학기 KUISA 활동을 함께할 벗을 모집합니다 :) ,https://www.koreapas.com/bbs/view.php?id=circle&page=1&sn1=&divpage=3&sn=off&ss=on&sc=on&select_arrange=headnum&desc=asc&no=14388,['https://img.koreapas.com/i/ca9c706/resize'],"👉2020년도 2학기 KUISA 14기 벗 모집 안내👈

KUISA란, Korea University International Student Assistant의 약자로 외국인 및 재외국민 정규학생의 학업 및 생활전반에 도움을 주는 국제처 글로벌 서비스센터 산하 자원봉사단체입니다. 

[벗]은 외국인 및 재외국민 정규학생들에게 도움을 줄 수 있는 고려대 학생을 뜻하고,
[버디]는 고려대 학생들에게 도움을 받는 외국인 및 재외국민 정규학생을 뜻합니다. 
KUISA에서 벗과 버디는 서로의 학업 및 생활전반에 도움을 주거나 다양한 공식행사, 소모임, 언어문화교류 등을 통해 서로의 언어와 문화를 공유하며 친목을 도모할 뿐 아니라, 함께 성장할 수 있는 기회를 가집니다.

KUISA 14기와 함께 할 벗을 모집합니다.

1. 모집대상 - 한국어로 의사소통이 가능한 고려대학교 학생 (20학번 지원 불가)
2. 모집일정
가. 지원서접수 : 7월18일~ 7월 23일(목) 23:59까지
나. 면접대상자 발표 : 7월 25일
다. 면접일정 : 7월 27일~30일 오전 10시 - 오후 6시
라. 화상면접일정 : 7월 31일
마. 합격자 발표 :  7월 31일 합격자, 불합격자 개별 문자 통보
바. 추가합격자 발표 : 결원이 생길 시 추후 안내 예정
사. 합격자 OT는  8월 1일 (토)
3. 지원방법: 상단의 QR코드 혹은 프로필 링크의 공지를 통해서 구글 폼 작성 및 제출 * 반드시 구글 계정으로 로그인 후 작성해주셔야 합니다.

4. 활동기간 : 여름방학 ~ 2020년 2학기

5. 활동내용 - 조별활동
- 수강신청 및 학생증 발급 등
- 학업관련 도움
- 소모임 활동
- 언어문화교류 활동
- 소규모 조별활동

6. 수료혜택

가. 교환학생 지원 시 가산점 부여 (2학기 이상 수료 시)
나. 국제처 명의의 KUISA 인증서 발급 및 봉사시간 부여
다. 각종 행사 시 학교의 행정적 지원 * 활동이 불성실한 경우 수료가 불가함을 알려드립니다.

7. 문의사항 : 
* 각종 KUISA 활동 및 홍보 자료는 네이버 카페와 페이스북 페이지와 인스타그램에서 확인 가능합니다.
- 페이스북 : KUISA-Korea University International Student Assistant
- 인스타그램 : ku_kuisa
- 네이버 카페: https://cafe.naver.com/kuisarecruit/7192 125414출처 : 고려대학교 고파스 2020-07-22 20:08:09:"
9,[KU_BIG] 고려대학교 빅데이터 연구회 KU-BIG에서 12기 신입부원을 모집합니다! ,https://www.koreapas.com/bbs/view.php?id=circle&page=1&sn1=&divpage=3&sn=off&ss=on&sc=on&select_arrange=headnum&desc=asc&no=14387,['https://img.koreapas.com/i/eb589c3/resize'],"[KU_BIG] 고려대학교 빅데이터 연구회 KU-BIG에서 12기 신입부원을 모집합니다!

고려대학교 통계학과 인증 유일 데이터 분석 학회,
고려대학교 빅데이터 연구회(KU-BIG)에서 20-2학기를 함께할 12기 신입 학회원을 모집합니다.

KU-BIG은 고려대 내 유일한 데이터 분석 학회로, 빅데이터 시대에 필요한 통계학/머신러닝/딥러닝 등에 대한 지식을 함께 공부하고 실제 데이터에 적용하는 프로젝트를 진행하는 학회입니다.

학회 활동 내용으로는
.
▶전반부 (여름 방학 ~ 중간고사 이전)
-데이터분석/시각화/기계학습(개론, 지도, 비지도)/딥러닝 집중 교육
-코딩(R/Python) 능력 함양을 위한 컨텐츠, 과제
.
▶후반부 (중간고사 이후)
-팀을 구성해 원하는 분야에 대한 세부 스터디
-실제 데이터에 적용하는 본 프로젝트를 진행
구성된 커리큘럼 외의 공부하고 싶은 분야가 있을 경우 자유롭게 스터디를 구성하거나 참여해 공부할 수 있고, 이번 겨울 방학 시즌에는 
강화학습/딥러닝/Python코딩/Kaggle실전스터디를 각자 수요에 맞게 진행하였습니다.
활동에 대한 자세한 내용은 아래 페이스북 페이지 게시글을 참조해 주시기 바랍니다.

전공이 무엇이든 실력이 어떠하든 데이터에 관심과 열의가 뜨거운 분이라면 주저말고 지원해주세요!!
_
▶지원자격
-1년 간 활동(방학 필수)가 가능한 고려대학교 학생 (전공 무관, 학부/대학원 무관)
-매주 목요일(세션)을 포함 최소 주 2회 이상 모임 가능한 분
_
▶모집
지원서 접수: 7/22(수) 24시
아래 링크에서 구글 설문지 작성
https://docs.google.com/forms/d/e/1FAIpQLSenMqEMa1K0EMcjW5jOBGVi2-rlE96CBfGrU01URs0u4dpCWQ/viewform?usp=pp_url
_
▶일정
-OT: 8월 6일(목) 19시
-첫 세션: 8월 13일(목) 19시
OT 불참시 합격 취소의 사유가 됩니다.
_
▶회장단 문의
조규선 : 010-6289-6206
김근호 : 010-2811-1719
_
▶페이스북 페이지
https://www.facebook.com/kubigdata
_
▶Github 페이지
https://github.com/ku-big
_
▶인스타그램 페이지
https://www.instagram.com/kubig.official

추가로 궁금하신 사항은 회장단에 문자 부탁드립니다.

감사합니다.
출처 : 고려대학교 고파스 2020-07-22 20:08:09:"
10,👉2020년도 2학기 KUISA 14기를 함께할 벗들을 모집합니다 :) 👈 (07/23 마감) ,https://www.koreapas.com/bbs/view.php?id=circle&page=1&sn1=&divpage=3&sn=off&ss=on&sc=on&select_arrange=headnum&desc=asc&no=14386,['https://img.koreapas.com/i/8843ab5/resize'],"👉2020년도 2학기 KUISA 14기 벗 모집 안내👈

KUISA란, Korea University International Student Assistant의 약자로 외국인 및 재외국민 정규학생의 학업 및 생활전반에 도움을 주는 국제처 글로벌 서비스센터 산하 자원봉사단체입니다. 

[벗]은 외국인 및 재외국민 정규학생들에게 도움을 줄 수 있는 고려대 학생을 뜻하고,
[버디]는 고려대 학생들에게 도움을 받는 외국인 및 재외국민 정규학생을 뜻합니다. 
KUISA에서 벗과 버디는 서로의 학업 및 생활전반에 도움을 주거나 다양한 공식행사, 소모임, 언어문화교류 등을 통해 서로의 언어와 문화를 공유하며 친목을 도모할 뿐 아니라, 함께 성장할 수 있는 기회를 가집니다.

KUISA 14기와 함께 할 벗을 모집합니다.

1. 모집대상 - 한국어로 의사소통이 가능한 고려대학교 학생 (20학번 지원 불가)
2. 모집일정
가. 지원서접수 : 7월18일~ 7월 23일(목) 23:59까지
나. 면접대상자 발표 : 7월 25일
다. 면접일정 : 7월 27일~30일 오전 10시 - 오후 6시
라. 화상면접일정 : 7월 31일
마. 합격자 발표 :  7월 31일 합격자, 불합격자 개별 문자 통보
바. 추가합격자 발표 : 결원이 생길 시 추후 안내 예정
사. 합격자 OT는  8월 1일 (토)
3. 지원방법: 상단의 QR코드 혹은 프로필 링크의 공지를 통해서 구글 폼 작성 및 제출 * 반드시 구글 계정으로 로그인 후 작성해주셔야 합니다.

4. 활동기간 : 여름방학 ~ 2020년 2학기

5. 활동내용 - 조별활동
- 수강신청 및 학생증 발급 등
- 학업관련 도움
- 소모임 활동
- 언어문화교류 활동
- 소규모 조별활동

6. 수료혜택

가. 교환학생 지원 시 가산점 부여 (2학기 이상 수료 시)
나. 국제처 명의의 KUISA 인증서 발급 및 봉사시간 부여
다. 각종 행사 시 학교의 행정적 지원 * 활동이 불성실한 경우 수료가 불가함을 알려드립니다.

7. 문의사항 : 
* 각종 KUISA 활동 및 홍보 자료는 네이버 카페와 페이스북 페이지와 인스타그램에서 확인 가능합니다.
 - 페이스북 : KUISA-Korea University International Student Assistant
- 인스타그램 : ku_kuisa
- 네이버 카페: https://cafe.naver.com/kuisarecruit/7192출처 : 고려대학교 고파스 2020-07-22 20:08:09:"
